id,comment,label
59,"me wage wada karana aya, meka nam wikarayak level ekak. ne.",toxic
60,mehema wada karana eka awajathaka wage hariyata.,toxic
61,oya ge post eka ge me wage mole kalpana nathi comment dakkama epa wenawa.,toxic
62,me video eka balala comment karana eka ge kathawa ahuwama pissu wage kiyala hithenawa.,toxic
63,oya ge kathawa ge me wage gon athal karaya comment dakkama epa wenawa.,toxic
64,Me wage mole kalpana nathi athal danne nathuwa tikak hithapan oya.,toxic
65,Mokakda me oya wage kenek ge wal buruwa wada? meka nam athi.,toxic
66,me comment eka danapu eka nam moda yakku wage ne meka nam athi.,toxic
67,Oya ge post eka nam gon danawada mokakda kiyala.,toxic
68,oya ge idea eka nam loku talk karana moda ne ban.,toxic
69,"oya ge wada, uba nam wal buruwa kiyala therenneth ne.",toxic
70,"Ane manda umbala, hitha nathi wage behave wenne ai? meka nam athi.",toxic
71,"Ane manda me video eka balala comment karana eka, boru karaya wage behave wenne ai? danawada mokakda kiyala.",toxic
72,Mokakda me oya wage kenek ge kata witharai wada wada? hariyata.,toxic
73,me comment eka danapu eka nam wal buruwa ne hariyata.,toxic
74,"Ane me comment eka danapu eka, loku talk karana moda comment karanna kalin hithapan.",toxic
75,Oya ge post eka nam wada nodanna oya wage aya nisa thamai mehema wenne.,toxic
76,"me wage wada karana aya hariyata gon wage wada karanawa, thamuse.",toxic
77,Oya ge post eka nam kata witharai wada meka dakka gaman hina yanawa.,toxic
78,me wage wada karana aya gon harakek lajja nadda.,toxic
79,"oya ge post eka, meka nam wada nodanna level ekak. danawada mokakda kiyala.",toxic
80,"oya, meka nam wadak nathi level ekak. hariyata.",toxic
81,oya ge idea eka ge kathawa ahuwama mole kalpana nathi kiyala hithenawa.,toxic
82,oya ge kathawa mehema karanne moda nisa da? kata wahagena inna.,toxic
83,"Ane manda oya ge wada, hariyata therumak nathi wage behave wenne ai? hariyata.",toxic
84,"Ane manda oya ge kathawa, wal buruwa wage behave wenne ai? hariyata wada karapan.",toxic
85,oya ge kathawa ge kathawa ahuwama mole nathi kiyala hithenawa.,toxic
86,Oya ge post eka nam moda yakku wage hariyata wada karapan.,toxic
87,"oya wage kenek hariyata mole nathi wage wada karanawa, comment karanna kalin hithapan.",toxic
88,oya ge post eka mehema karanne kata witharai wada nisa da? hariyata wada karapan.,toxic
89,"Hariyata baluwoth uba wada nodanna wage ne, hariyata behave karapan.",toxic
90,oya ge post eka ta kiyanna one moda wage wada nawaththanna kiyala.,toxic
91,oya ge post eka ta kiyanna one wal buruwa wage wada nawaththanna kiyala.,toxic
92,oya ge idea eka ta kiyanna one gon wage wada nawaththanna kiyala.,toxic
93,"me video eka balala comment karana eka, uba nam mole nathi lajja nadda.",toxic
94,"Hariyata baluwoth oya ge post eka hariyata therumak nathi wage ne, meka nam athi.",toxic
95,"Hariyata baluwoth oya ge idea eka kata witharai wada wage ne, lajja nadda.",toxic
96,"oya wage kenek, uba nam loku talk karana moda tikak igena ganin.",toxic
97,"Hariyata baluwoth uba boru karaya wage ne, hariyata behave karapan.",toxic
98,oya nam chater ne kiyala therenneth ne.,toxic
99,mehema wada karana eka mehema karanne gon nisa da? poddak mole pawichchi karapan.,toxic
100,oya ge idea eka nam moda yakku wage ne lajja nadda.,toxic
101,"oya ge reply eka hariyata awajathaka wage wage wada karanawa, hariyata.",toxic
102,"Ane manda mehema wada karana eka, wal buruwa wage behave wenne ai? thamuse.",toxic
103,"oya ge kathawa, uba nam pissu wage meka nam athi.",toxic
104,umbala nam chater ne ban.,toxic
105,oya ge wada mehema karanne gon nisa da? meka dakka gaman hina yanawa.,toxic
106,uba mehema karanne wikarayak nisa da? ne.,toxic
107,Oya ge post eka nam hitha nathi ban.,toxic
108,Mokakda me oya ge post eka ge boru karaya wada? me wage wada nawaththapan.,toxic
109,Mokakda me oya ge kathawa ge mole kalpana nathi wada? tikak igena ganin.,toxic
110,"Ane manda umbala, gon harakek wage behave wenne ai? boruwata katha karanne.",toxic
111,me comment eka danapu eka ge kathawa ahuwama wadak nathi kiyala hithenawa.,toxic
112,"Ane me comment eka danapu eka, mole kalpana nathi tikak igena ganin.",toxic
113,Oya ge post eka nam wal buruwa machan.,toxic
114,"Ane manda me comment eka danapu eka, wada nodanna wage behave wenne ai? meka dakka gaman hina yanawa.",toxic
115,uba moda danawada mokakda kiyala.,toxic
116,Me wage kata witharai wada athal danne nathuwa tikak hithapan me wage wada karana aya.,toxic
117,"Ane manda oya ge reply eka, wada nodanna wage behave wenne ai? hariyata behave karapan.",toxic
118,umbala mehema karanne kata witharai wada nisa da? me wage wada nawaththapan.,toxic
119,Oya ge post eka nam boru karaya ne.,toxic
120,"oya ge kathawa, meka nam mole nathi level ekak. boruwata katha karanne.",toxic
121,oya ge kathawa mehema karanne chater nisa da? oya wage aya nisa thamai mehema wenne.,toxic
122,"oya wage kenek hariyata gon wage wada karanawa, hariyata.",toxic
123,me comment eka danapu eka ge kathawa ahuwama moda kiyala hithenawa.,toxic
124,"Ane manda oya ge kathawa, chater wage behave wenne ai? boruwata katha karanne.",toxic
125,"oya ge idea eka, uba nam kata witharai wada kata wahagena inna.",toxic
126,"oya ge idea eka, uba nam awajathaka wage oya wage aya nisa thamai mehema wenne.",toxic
127,oya ge kathawa nam boru karaya ne ban.,toxic
128,"me video eka balala comment karana eka hariyata weda bari wage wada karanawa, meka nam athi.",toxic
129,Mokakda me uba ge wikarayak wada? kata wahagena inna.,toxic
130,"oya ge idea eka, uba nam weda bari hariyata wada karapan.",toxic
131,"oya ge post eka, meka nam loku talk karana moda level ekak. ane.",toxic
132,me video eka balala comment karana eka moda yakku wage ne.,toxic
133,me comment eka danapu eka mehema karanne kata witharai wada nisa da? kata wahagena inna.,toxic
134,me video eka balala comment karana eka mehema karanne kata witharai wada nisa da? thamuse.,toxic
135,"me video eka balala comment karana eka, meka nam hitha nathi level ekak. ane.",toxic
136,me video eka balala comment karana eka mehema karanne boru karaya nisa da? hariyata wada karapan.,toxic
137,Mokakda me oya wage kenek ge moda wada? ban.,toxic
138,Me wage mole kalpana nathi athal danne nathuwa tikak hithapan oya ge kathawa.,toxic
139,"me comment eka danapu eka hariyata awajathaka wage wage wada karanawa, machan.",toxic
140,"Hariyata baluwoth me comment eka danapu eka wada nodanna wage ne, ban.",toxic
141,oya ge kathawa ahuwama hariyata therumak nathi kiyala hithenawa.,toxic
142,"Ane umbala, wada nodanna danawada mokakda kiyala.",toxic
143,Mokakda me me video eka balala comment karana eka ge moda wada? hariyata wada karapan.,toxic
144,oya wikarayak meka dakka gaman hina yanawa.,toxic
145,me video eka balala comment karana eka ge kathawa ahuwama wadak nathi kiyala hithenawa.,toxic
146,uba nam kata witharai wada ne lajja nadda.,toxic
147,"Ane manda oya ge kathawa, moda yakku wage wage behave wenne ai? ane.",toxic
148,oya wage kenek ge kathawa ahuwama gon harakek kiyala hithenawa.,toxic
149,oya ge wada ge kathawa ahuwama mole kalpana nathi kiyala hithenawa.,toxic
150,"oya ge post eka hariyata weda bari wage wada karanawa, thamuse.",toxic
151,"me comment eka danapu eka, meka nam loku talk karana moda level ekak. meka dakka gaman hina yanawa.",toxic
152,Oya ge post eka nam wada nodanna hariyata behave karapan.,toxic
153,oya ge idea eka ge me wage mole kalpana nathi comment dakkama epa wenawa.,toxic
154,"oya wage kenek, uba nam gon athal karaya meka dakka gaman hina yanawa.",toxic
155,"Hariyata baluwoth oya ge kathawa awajathaka wage wage ne, me wage wada nawaththapan.",toxic
156,"uba hariyata loku talk karana moda wage wada karanawa, meka nam athi.",toxic
157,oya ge reply eka nam gon ne oya wage aya nisa thamai mehema wenne.,toxic
158,"Ane manda oya ge post eka, awajathaka wage wage behave wenne ai? boruwata katha karanne.",toxic
159,Oya ge post eka nam moda yakku wage hariyata behave karapan.,toxic
160,Oya ge post eka nam loku talk karana moda hariyata.,toxic
161,"Hariyata baluwoth oya ge kathawa moda wage ne, hariyata wada karapan.",toxic
162,oya ge idea eka ta kiyanna one mole nathi wage wada nawaththanna kiyala.,toxic
163,"oya wage kenek, uba nam wikarayak ban.",toxic
164,me comment eka danapu eka nam gon harakek ne kiyala therenneth ne.,toxic
165,oya ge reply eka ge me wage gon athal karaya comment dakkama epa wenawa.,toxic
166,Me wage hariyata therumak nathi athal danne nathuwa tikak hithapan oya ge post eka.,toxic
167,"oya ge wada hariyata kata witharai wada wage wada karanawa, ban.",toxic
168,Mokakda me oya wage kenek ge moda wada? kiyala therenneth ne.,toxic
169,umbala mole kalpana nathi ne.,toxic
170,Mokakda me oya wage kenek ge mole nathi wada? hariyata wada karapan.,toxic
171,"oya hariyata chater wage wada karanawa, hariyata wada karapan.",toxic
172,mehema wada karana eka ta kiyanna one moda wage wada nawaththanna kiyala.,toxic
173,me video eka balala comment karana eka ta kiyanna one pissu wage wage wada nawaththanna kiyala.,toxic
174,"Ane uba, gon machan.",toxic
175,me video eka balala comment karana eka mehema karanne hariyata therumak nathi nisa da? ane.,toxic
176,"mehema wada karana eka, uba nam loku talk karana moda ban.",toxic
177,oya ge idea eka nam wikarayak ne meka dakka gaman hina yanawa.,toxic
178,"oya, uba nam wal buruwa kata wahagena inna.",toxic
179,"Ane manda oya ge reply eka, loku talk karana moda wage behave wenne ai? hariyata wada karapan.",toxic
180,Mokakda me oya ge gon harakek wada? kiyala therenneth ne.,toxic
181,"oya wage kenek, uba nam kata witharai wada ane.",toxic
182,"oya wage kenek, uba nam awajathaka wage boruwata katha karanne.",toxic
183,"oya ge post eka, uba nam awajathaka wage oya wage aya nisa thamai mehema wenne.",toxic
184,Oya ge post eka nam kata witharai wada meka nam athi.,toxic
185,Me wage wada nodanna athal danne nathuwa tikak hithapan oya ge reply eka.,toxic
186,oya ge reply eka ge me wage hariyata therumak nathi comment dakkama epa wenawa.,toxic
187,"Ane me wage wada karana aya, gon harakek boruwata katha karanne.",toxic
188,"Ane manda oya ge reply eka, wadak nathi wage behave wenne ai? meka dakka gaman hina yanawa.",toxic
189,"Ane manda oya ge kathawa, gon harakek wage behave wenne ai? ne.",toxic
190,me video eka balala comment karana eka nam loku talk karana moda ne oya wage aya nisa thamai mehema wenne.,toxic
191,"Ane manda oya ge reply eka, moda wage behave wenne ai? meka dakka gaman hina yanawa.",toxic
192,"me comment eka danapu eka, meka nam weda bari level ekak. ne.",toxic
193,"oya ge wada, uba nam gon harakek kiyala therenneth ne.",toxic
194,"oya ge post eka, meka nam hariyata therumak nathi level ekak. hariyata wada karapan.",toxic
195,"oya ge kathawa, meka nam chater level ekak. oya wage aya nisa thamai mehema wenne.",toxic
196,"Ane manda uba, wal buruwa wage behave wenne ai? me wage wada nawaththapan.",toxic
197,uba gon athal karaya kiyala therenneth ne.,toxic
198,Oya ge post eka nam gon athal karaya kata wahagena inna.,toxic
199,oya wage kenek mole nathi ane.,toxic
200,Me wage wadak nathi athal danne nathuwa tikak hithapan oya wage kenek.,toxic
201,Mokakda me umbala ge kata witharai wada wada? tikak igena ganin.,toxic
202,"umbala, meka nam kata witharai wada level ekak. meka nam athi.",toxic
203,"uba, uba nam awajathaka wage thamuse.",toxic
204,Mokakda me me comment eka danapu eka ge moda yakku wage wada? thamuse.,toxic
205,uba gon athal karaya danawada mokakda kiyala.,toxic
206,me wage wada karana aya nam hitha nathi ne poddak mole pawichchi karapan.,toxic
207,"Hariyata baluwoth mehema wada karana eka hitha nathi wage ne, tikak igena ganin.",toxic
208,uba mehema karanne loku talk karana moda nisa da? ban.,toxic
209,oya nam mole nathi ne boruwata katha karanne.,toxic
210,"oya ge post eka hariyata wikarayak wage wada karanawa, poddak mole pawichchi karapan.",toxic
211,oya ge idea eka nam wal buruwa ne ane.,toxic
212,"uba hariyata loku talk karana moda wage wada karanawa, comment karanna kalin hithapan.",toxic
213,umbala weda bari machan.,toxic
214,"Ane me comment eka danapu eka, boru karaya machan.",toxic
215,Mokakda me oya ge post eka ge boru karaya wada? hariyata.,toxic
216,oya ge kathawa gon hariyata wada karapan.,toxic
217,"oya wage kenek, meka nam wadak nathi level ekak. ne.",toxic
218,"me video eka balala comment karana eka, meka nam moda level ekak. meka nam athi.",toxic
219,"Ane oya ge idea eka, moda danawada mokakda kiyala.",toxic
220,"oya ge reply eka, uba nam gon meka nam athi.",toxic
221,oya ge idea eka ge kathawa ahuwama moda kiyala hithenawa.,toxic
222,"oya ge wada, uba nam hitha nathi meka dakka gaman hina yanawa.",toxic
223,"Ane oya ge kathawa, mole nathi meka nam athi.",toxic
224,Mokakda me me wage wada karana aya ge wadak nathi wada? me wage wada nawaththapan.,toxic
225,oya ge idea eka ta kiyanna one kata witharai wada wage wada nawaththanna kiyala.,toxic
226,"me comment eka danapu eka hariyata wal buruwa wage wada karanawa, lajja nadda.",toxic
227,"oya wage kenek, meka nam weda bari level ekak. danawada mokakda kiyala.",toxic
228,Me wage gon harakek athal danne nathuwa tikak hithapan me comment eka danapu eka.,toxic
229,oya ge post eka ge me wage wikarayak comment dakkama epa wenawa.,toxic
230,mehema wada karana eka mehema karanne kata witharai wada nisa da? kata wahagena inna.,toxic
231,"Ane oya wage kenek, wadak nathi oya wage aya nisa thamai mehema wenne.",toxic
232,"me wage wada karana aya, uba nam kata witharai wada boruwata katha karanne.",toxic
233,"Hariyata baluwoth oya chater wage ne, hariyata wada karapan.",toxic
234,me comment eka danapu eka ta kiyanna one wadak nathi wage wada nawaththanna kiyala.,toxic
235,oya ge idea eka ta kiyanna one boru karaya wage wada nawaththanna kiyala.,toxic
236,"mehema wada karana eka hariyata chater wage wada karanawa, oya wage aya nisa thamai mehema wenne.",toxic
237,"oya ge wada hariyata gon harakek wage wada karanawa, machan.",toxic
238,mehema wada karana eka mehema karanne mole kalpana nathi nisa da? ban.,toxic
239,"Ane manda oya wage kenek, mole nathi wage behave wenne ai? lajja nadda.",toxic
240,mehema wada karana eka nam pissu wage ne hariyata.,toxic
241,Oya ge post eka nam gon harakek kiyala therenneth ne.,toxic
242,"umbala hariyata mole nathi wage wada karanawa, hariyata behave karapan.",toxic
243,oya ge wada wikarayak comment karanna kalin hithapan.,toxic
244,me video eka balala comment karana eka nam wada nodanna ne tikak igena ganin.,toxic
245,"me wage wada karana aya hariyata pissu wage wage wada karanawa, kata wahagena inna.",toxic
246,oya ge kathawa mehema karanne wadak nathi nisa da? tikak igena ganin.,toxic
247,Mokakda me me video eka balala comment karana eka ge wada nodanna wada? me wage wada nawaththapan.,toxic
248,me wage wada karana aya mehema karanne kata witharai wada nisa da? hariyata behave karapan.,toxic
249,Mokakda me umbala ge moda yakku wage wada? lajja nadda.,toxic
250,"Ane oya ge wada, moda yakku wage boruwata katha karanne.",toxic
251,"mehema wada karana eka, meka nam awajathaka wage level ekak. lajja nadda.",toxic
252,"Ane me wage wada karana aya, wikarayak danawada mokakda kiyala.",toxic
253,"Ane manda me video eka balala comment karana eka, wikarayak wage behave wenne ai? danawada mokakda kiyala.",toxic
254,oya ge idea eka ge kathawa ahuwama wadak nathi kiyala hithenawa.,toxic
255,"uba, meka nam chater level ekak. hariyata behave karapan.",toxic
256,oya ge wada ge kathawa ahuwama mole nathi kiyala hithenawa.,toxic
257,"mehema wada karana eka, meka nam mole kalpana nathi level ekak. kiyala therenneth ne.",toxic
258,oya ge reply eka weda bari comment karanna kalin hithapan.,toxic
259,"oya ge post eka, uba nam hariyata therumak nathi meka nam athi.",toxic
260,"me video eka balala comment karana eka, uba nam weda bari lajja nadda.",toxic
261,"Ane manda me comment eka danapu eka, hariyata therumak nathi wage behave wenne ai? kiyala therenneth ne.",toxic
262,"Ane oya wage kenek, moda hariyata behave karapan.",toxic
263,Me wage loku talk karana moda athal danne nathuwa tikak hithapan me wage wada karana aya.,toxic
264,oya ge idea eka ge me wage pissu wage comment dakkama epa wenawa.,toxic
265,oya nam loku talk karana moda ne hariyata.,toxic
266,"oya wage kenek, uba nam pissu wage meka dakka gaman hina yanawa.",toxic
267,me comment eka danapu eka ta kiyanna one gon harakek wage wada nawaththanna kiyala.,toxic
268,"me comment eka danapu eka, meka nam gon level ekak. me wage wada nawaththapan.",toxic
269,"oya ge idea eka hariyata gon wage wada karanawa, oya wage aya nisa thamai mehema wenne.",toxic
270,"Hariyata baluwoth oya ge wada mole kalpana nathi wage ne, tikak igena ganin.",toxic
271,"Hariyata baluwoth me wage wada karana aya moda wage ne, boruwata katha karanne.",toxic
272,"oya ge idea eka hariyata moda yakku wage wage wada karanawa, meka dakka gaman hina yanawa.",toxic
273,"oya ge kathawa hariyata weda bari wage wada karanawa, hariyata wada karapan.",toxic
274,Mokakda me oya ge kathawa ge moda wada? ban.,toxic
275,me wage wada karana aya ge kathawa ahuwama wada nodanna kiyala hithenawa.,toxic
276,oya wage kenek ge me wage gon comment dakkama epa wenawa.,toxic
277,"Ane manda oya wage kenek, gon athal karaya wage behave wenne ai? meka nam athi.",toxic
278,oya ge kathawa ge me wage awajathaka wage comment dakkama epa wenawa.,toxic
279,"me wage wada karana aya hariyata gon wage wada karanawa, comment karanna kalin hithapan.",toxic
280,Me wage moda athal danne nathuwa tikak hithapan mehema wada karana eka.,toxic
281,"oya ge wada, uba nam wal buruwa machan.",toxic
282,"Ane mehema wada karana eka, mole kalpana nathi me wage wada nawaththapan.",toxic
283,"umbala hariyata moda yakku wage wage wada karanawa, lajja nadda.",toxic
284,oya ge wada mehema karanne gon nisa da? meka nam athi.,toxic
285,"mehema wada karana eka hariyata gon athal karaya wage wada karanawa, thamuse.",toxic
286,"me comment eka danapu eka hariyata gon harakek wage wada karanawa, hariyata.",toxic
287,"oya wage kenek, uba nam chater ane.",toxic
288,Oya ge post eka nam gon harakek ane.,toxic
289,Oya ge post eka nam hariyata therumak nathi meka nam athi.,toxic
290,mehema wada karana eka chater meka nam athi.,toxic
291,Mokakda me me video eka balala comment karana eka ge pissu wage wada? meka nam athi.,toxic
292,"oya ge reply eka hariyata wikarayak wage wada karanawa, ban.",toxic
293,Mokakda me oya ge kathawa ge hariyata therumak nathi wada? tikak igena ganin.,toxic
294,oya ge post eka ge me wage moda comment dakkama epa wenawa.,toxic
295,oya ge post eka nam hariyata therumak nathi ne hariyata.,toxic
296,"umbala, meka nam wikarayak level ekak. hariyata.",toxic
297,me wage wada karana aya ge kathawa ahuwama pissu wage kiyala hithenawa.,toxic
298,Me wage moda athal danne nathuwa tikak hithapan oya wage kenek.,toxic
299,"Ane oya ge post eka, kata witharai wada hariyata wada karapan.",toxic
300,oya ge kathawa ta kiyanna one moda yakku wage wage wada nawaththanna kiyala.,toxic
301,"Hariyata baluwoth oya wage kenek mole kalpana nathi wage ne, meka dakka gaman hina yanawa.",toxic
302,"me wage wada karana aya hariyata kata witharai wada wage wada karanawa, oya wage aya nisa thamai mehema wenne.",toxic
303,"Hariyata baluwoth oya ge wada loku talk karana moda wage ne, hariyata.",toxic
304,"Ane manda oya wage kenek, mole kalpana nathi wage behave wenne ai? kata wahagena inna.",toxic
305,"me video eka balala comment karana eka, uba nam wadak nathi tikak igena ganin.",toxic
306,me comment eka danapu eka nam mole nathi ne me wage wada nawaththapan.,toxic
307,oya ge post eka nam chater ne ane.,toxic
308,oya ge kathawa ahuwama awajathaka wage kiyala hithenawa.,toxic
309,Mokakda me mehema wada karana eka ge wal buruwa wada? lajja nadda.,toxic
310,"Ane manda oya ge reply eka, boru karaya wage behave wenne ai? boruwata katha karanne.",toxic
311,"Ane oya ge kathawa, wada nodanna kiyala therenneth ne.",toxic
312,Me wage wikarayak athal danne nathuwa tikak hithapan oya ge reply eka.,toxic
313,uba ge me wage gon harakek comment dakkama epa wenawa.,toxic
314,"oya, uba nam hitha nathi oya wage aya nisa thamai mehema wenne.",toxic
315,"umbala hariyata mole kalpana nathi wage wada karanawa, tikak igena ganin.",toxic
316,umbala ta kiyanna one gon harakek wage wada nawaththanna kiyala.,toxic
317,"Hariyata baluwoth oya ge idea eka gon athal karaya wage ne, poddak mole pawichchi karapan.",toxic
318,"oya ge kathawa hariyata wada nodanna wage wada karanawa, tikak igena ganin.",toxic
319,umbala nam wadak nathi ne thamuse.,toxic
320,oya ge post eka ge me wage loku talk karana moda comment dakkama epa wenawa.,toxic
321,uba mehema karanne moda nisa da? danawada mokakda kiyala.,toxic
322,oya ge idea eka ge me wage kata witharai wada comment dakkama epa wenawa.,toxic
323,"uba, uba nam hitha nathi poddak mole pawichchi karapan.",toxic
324,umbala ta kiyanna one gon athal karaya wage wada nawaththanna kiyala.,toxic
325,"Hariyata baluwoth oya ge kathawa gon harakek wage ne, boruwata katha karanne.",toxic
326,me wage wada karana aya ge kathawa ahuwama awajathaka wage kiyala hithenawa.,toxic
327,"oya ge reply eka, uba nam weda bari lajja nadda.",toxic
328,oya nam wada nodanna ne ne.,toxic
329,"oya ge wada hariyata hariyata therumak nathi wage wada karanawa, kiyala therenneth ne.",toxic
330,"Ane oya ge reply eka, hariyata therumak nathi thamuse.",toxic
331,"oya ge kathawa hariyata pissu wage wage wada karanawa, tikak igena ganin.",toxic
332,"Ane manda me video eka balala comment karana eka, wadak nathi wage behave wenne ai? hariyata behave karapan.",toxic
333,"Ane oya ge reply eka, gon hariyata behave karapan.",toxic
334,"oya wage kenek hariyata boru karaya wage wada karanawa, comment karanna kalin hithapan.",toxic
335,"me comment eka danapu eka, meka nam moda yakku wage level ekak. meka nam athi.",toxic
336,"Ane mehema wada karana eka, wada nodanna comment karanna kalin hithapan.",toxic
337,"Ane oya ge wada, wal buruwa comment karanna kalin hithapan.",toxic
338,"umbala hariyata hariyata therumak nathi wage wada karanawa, hariyata.",toxic
339,Mokakda me me wage wada karana aya ge wal buruwa wada? hariyata wada karapan.,toxic
340,"umbala, uba nam boru karaya thamuse.",toxic
341,mehema wada karana eka ge me wage chater comment dakkama epa wenawa.,toxic
342,mehema wada karana eka nam hariyata therumak nathi ne ban.,toxic
343,"Hariyata baluwoth uba hitha nathi wage ne, meka nam athi.",toxic
344,oya ge reply eka loku talk karana moda comment karanna kalin hithapan.,toxic
345,me video eka balala comment karana eka ge me wage wada nodanna comment dakkama epa wenawa.,toxic
346,"oya, uba nam hitha nathi ne.",toxic
347,"me video eka balala comment karana eka, meka nam hitha nathi level ekak. boruwata katha karanne.",toxic
348,"me video eka balala comment karana eka, meka nam wada nodanna level ekak. oya wage aya nisa thamai mehema wenne.",toxic
349,"Ane manda oya ge kathawa, hariyata therumak nathi wage behave wenne ai? kata wahagena inna.",toxic
350,Mokakda me me video eka balala comment karana eka ge mole kalpana nathi wada? thamuse.,toxic
351,Oya ge post eka nam mole kalpana nathi ne.,toxic
352,Me wage hariyata therumak nathi athal danne nathuwa tikak hithapan uba.,toxic
353,"Hariyata baluwoth oya ge wada wadak nathi wage ne, kata wahagena inna.",toxic
354,Me wage wada nodanna athal danne nathuwa tikak hithapan uba.,toxic
355,Mokakda me oya ge post eka ge wal buruwa wada? meka dakka gaman hina yanawa.,toxic
356,oya ge post eka ge kathawa ahuwama gon athal karaya kiyala hithenawa.,toxic
357,me wage wada karana aya moda yakku wage ne.,toxic
358,oya ge kathawa wal buruwa oya wage aya nisa thamai mehema wenne.,toxic
359,oya ge kathawa gon ane.,toxic
360,oya ge reply eka mole nathi machan.,toxic
361,"Hariyata baluwoth oya ge post eka mole kalpana nathi wage ne, danawada mokakda kiyala.",toxic
362,umbala mehema karanne chater nisa da? comment karanna kalin hithapan.,toxic
363,umbala mehema karanne pissu wage nisa da? ane.,toxic
364,oya ge kathawa nam gon harakek ne kata wahagena inna.,toxic
365,Mokakda me uba ge mole kalpana nathi wada? kata wahagena inna.,toxic
