id,original_text,clean_text,original_label,label,language_type,text_length,word_count,duplicate_flag,label_conflict,suspicious_subtitle,removal_reason
63,Aththmaii.waradinna.koi.walda.kiyala.einnapu,aththmaii.waradinna.koi.walda.kiyala.einnapu,,,Singlish,44,1,False,False,False,
64,Badu king,badu king,,,Singlish,9,2,False,False,False,
65,Chnnaya wge,chnnaya wge,,,Singlish,11,2,False,False,False,
66,Coken isuru genu gela penne na,coken isuru genu gela penne na,,,Singlish,30,6,False,False,False,
67,Den hukagana ewarai,den hukagana ewarai,,,Singlish,19,3,False,False,False,
68,dennama babala,dennama babala,,,Singlish,14,2,False,False,False,
69,Deshani lassana talented lamyk,deshani lassana talented lamyk,,,Singlish,30,4,False,False,False,
70,Designi hodatheeranayak.  Godluk,designi hodatheeranayak. godluk,,,Singlish,31,3,False,False,False,
71,Dn deshani janasathui,dn deshani janasathui,,,Singlish,21,3,False,False,False,
72,E wunata Isuru Deshanita kotala dala gihin,e wunata isuru deshanita kotala dala gihin,,,Singlish,42,7,False,False,False,
73,Ehema wenda kiyala mama nam pethuwa ubata dukaida un denna wen una eka,ehema wenda kiyala mama nam pethuwa ubata dukaida un denna wen una eka,,,Singlish,70,13,False,False,False,
74,Eka aththa,eka aththa,,,Singlish,10,2,True,False,False,
75,Ekita ona une kauru hari allan pemas wenna paw e unata isuru,ekita ona une kauru hari allan pemas wenna paw e unata isuru,,,Singlish,60,12,False,False,False,
76,eknma,eknma,,,Singlish,5,1,False,False,False,
77,Eththewo gihin ieerada lamayo,eththewo gihin ieerada lamayo,,,Singlish,29,4,False,False,False,
78,Gon ganu may kupadiyata ahuunane,gon ganu may kupadiyata ahuunane,,,Singlish,32,5,False,False,False,
79,Gon ganu thopi aththen aththata pana pana ganikawo wage idapalla.jara ganu unge nisi wayasata badapallako kollek hoyan naki eun hoya gaththa,gon ganu thopi aththen aththata pana pana ganikawo wage idapalla.jara ganu unge nisi wayasata badapallako kollek hoyan naki eun hoya gaththa,,,Singlish,140,21,False,False,False,
80,Habai wiswasa karannath one tikak hithala balala hidei...A moka me kiyana kella hariyat boru kiyanawa  mn me katahada ahenakotama me video eka balanna kalinma hithuwa...boru kiyala...eth baluwa...mekie patta boru kiyanne....mn hidata dannawa me kata hada...,habai wiswasa karannath one tikak hithala balala hidei..a moka me kiyana kella hariyat boru kiyanawa mn me katahada ahenakotama me video eka balanna kalinma hithuwa..boru kiyala..eth baluwa..mekie patta boru kiyanne..mn hidata dannawa me kata hada..,,,Mixed,249,35,False,False,False,
81,He spoiled your life. But you thought that acter will be a hero you are wrong he is flirting. I am blaming your parents. Consequence will be drastic.,he spoiled your life. but you thought that acter will be a hero you are wrong he is flirting. i am blaming your parents. consequence will be drastic.,,,Singlish,149,28,False,False,False,
82,Hi,hi,,,Singlish,2,1,True,False,False,
84,hmmat isuru bosa adahanna watina charithaykne oyagammk thamai kollo,hmmat isuru bosa adahanna watina charithaykne oyagammk thamai kollo,,,Singlish,67,9,False,False,False,
85,Hoda wede,hoda wede,,,Singlish,9,2,False,False,False,
86,"I don’t know much about Deshani, but she’s not a little kid. If she has common sense, she should know about Isuru. Rather than seeking sympathy from the public, she should remain quiet and maintain her dignity.","i don’t know much about deshani, but she’s not a little kid. if she has common sense, she should know about isuru. rather than seeking sympathy from the public, she should remain quiet and maintain her dignity.",,,English,210,37,False,False,False,
87,I. Am Ready,i. am ready,,,Singlish,11,3,False,False,False,
88,Isuru kiyanne sakkiliyek u hirhan inne u hari porak kiyala paka hukanawa ath harinawa   pandethakam dhodawanawa amu gawaya,isuru kiyanne sakkiliyek u hirhan inne u hari porak kiyala paka hukanawa ath harinawa pandethakam dhodawanawa amu gawaya,,,Singlish,120,18,False,False,False,
89,Isuru maha jara ykek deshani paw oya narumayagen beruna eka hodai,isuru maha jara ykek deshani paw oya narumayagen beruna eka hodai,,,Singlish,65,11,False,False,False,
90,Isuru thami hodatama kare.,isuru thami hodatama kare.,,,Singlish,26,4,False,False,False,
91,isuru.  Narumayek.   Okaata.   Girl. Friends. La. Hariyanne. Ne. Isuru.  Jara. Yakek,isuru. narumayek. okaata. girl. friends. la. hariyanne. ne. isuru. jara. yakek,,,Singlish,78,11,False,False,False,
92,Isuru.harima.hodai.mama.kamati.kollek,isuru.harima.hodai.mama.kamati.kollek,,,Singlish,37,1,False,False,False,
93,Isuruge 3thun weni kena kawuda danne ne,isuruge 3thun weni kena kawuda danne ne,,,Singlish,39,7,False,False,False,
94,Isurut ganu hema thenama awanka ne ekai aththa tharinditath kale okamai buruwa,isurut ganu hema thenama awanka ne ekai aththa tharinditath kale okamai buruwa,,,Singlish,78,12,False,False,False,
95,Isuruta hoda wayasa a kenek,isuruta hoda wayasa a kenek,,,Singlish,27,5,False,False,False,
96,Isuruta nithiyanu kula sambath hariyanne naha hora kanne aeka thama hariyanne,isuruta nithiyanu kula sambath hariyanne naha hora kanne aeka thama hariyanne,,,Singlish,77,11,False,False,False,
97,isuruth sanath gunathilakath ekama vidiya thamai.,isuruth sanath gunathilakath ekama vidiya thamai.,,,Singlish,49,6,False,False,False,
98,Isuruwa Mata epama une tharindita karapu de nisa ..Mata muwa pennama be,isuruwa mata epama une tharindita karapu de nisa ..mata muwa pennama be,,,Singlish,71,12,False,False,False,
99,Isuruwaa kohomath wal kupaadiyaa,isuruwaa kohomath wal kupaadiyaa,,,Singlish,32,4,False,False,False,
100,kalakanniya,kalakanniya,,,Singlish,11,1,False,False,False,
101,Kello mi vassiyo munta ahu wenne,kello mi vassiyo munta ahu wenne,,,Singlish,32,6,False,False,False,
102,Ko Ara dipu Lori tok ane hukaganin apita mokada,ko ara dipu lori tok ane hukaganin apita mokada,,,Singlish,47,9,False,False,False,
103,Komath isuru ranjanta wediya ku...sampoorna karaganna api kiyamu hoda kukulek dennatama love hariyanne ne porawal kiyala pennuwata kora dennek,komath isuru ranjanta wediya ku..sampoorna karaganna api kiyamu hoda kukulek dennatama love hariyanne ne porawal kiyala pennuwata kora dennek,,,Singlish,141,19,False,False,False,
104,Lankawama kiyaddi ahuwe nati unata Hoda wade oka niwaradi Kara Ganna tibuna kale oka nokara gattata Hoda wade Dan wat terun gatta eka loku deyak unat mat ganu kenek nisa dukayi,lankawama kiyaddi ahuwe nati unata hoda wade oka niwaradi kara ganna tibuna kale oka nokara gattata hoda wade dan wat terun gatta eka loku deyak unat mat ganu kenek nisa dukayi,,,Singlish,176,31,False,False,False,
105,Ma..ganuneta..pesu..anunega..dawale..hoyanawa,ma..ganuneta..pesu..anunega..dawale..hoyanawa,,,Singlish,45,1,False,False,False,
106,Malli hari Malli Owwa thiyenne Athi wenna Nethi wenna,malli hari malli owwa thiyenne athi wenna nethi wenna,,,Singlish,53,9,False,False,False,
107,Mama nam  me dennage  palamu dekka  dawase  kiuwe me katawata  wede  azusa nete  bawai.yaa deka  norata  rata pehemakda  neta,mama nam me dennage palamu dekka dawase kiuwe me katawata wede azusa nete bawai.yaa deka norata rata pehemakda neta,,,Singlish,115,19,False,False,False,
108,Marry kranna kalin ohoma una eka hodai..harinam e kella sathutu wenna oni u gana bandinna kalin dangena ain wenna puluwan una ekata..,marry kranna kalin ohoma una eka hodai..harinam e kella sathutu wenna oni u gana bandinna kalin dangena ain wenna puluwan una ekata..,,,Singlish,133,22,False,False,False,
109,Me balla nakiyeknemuta naki vise gal musalayek hati muge,me balla nakiyeknemuta naki vise gal musalayek hati muge,,,Singlish,56,9,False,False,False,
110,Me dennama galpenne na kiyala hithuwa,me dennama galpenne na kiyala hithuwa,,,Singlish,37,6,False,False,False,
111,Me lady job ekenuth Ayn una da koheda.,me lady job ekenuth ayn una da koheda.,,,Singlish,38,8,False,False,False,
112,Me naliyata mokata kemathi unada me kella,me naliyata mokata kemathi unada me kella,,,Singlish,41,7,False,False,False,
113,Meka krlek rakagena adare karanna danawada awajatakayek sakkiliyek iya meka haficha amekge thattekge daruwek wenna ba kello selam baduwage iya nakiya sadakalina taniweyak,meka krlek rakagena adare karanna danawada awajatakayek sakkiliyek iya meka haficha amekge thattekge daruwek wenna ba kello selam baduwage iya nakiya sadakalina taniweyak,,,Singlish,170,23,False,False,False,
114,Meka wate kotanawa athi nakiyaya..iya.mekata utsana unatath lajja na lankawema kelinna puluwan ekama piromiyada,meka wate kotanawa athi nakiyaya..iya.mekata utsana unatath lajja na lankawema kelinna puluwan ekama piromiyada,,,Singlish,111,14,False,False,False,
115,meun denn tathtai duwai wage newei siiyai minibiri wage wayas parataraya.,meun denn tathtai duwai wage newei siiyai minibiri wage wayas parataraya.,,,Singlish,73,11,False,False,False,
116,Mewa danna epa sajayata wegtn ne eka hodin awaboda karaganna,mewa danna epa sajayata wegtn ne eka hodin awaboda karaganna,,,Singlish,60,10,False,False,False,
117,Mewata kohenda ban hinawenna one.. api danagathta udapaniddi oka wei kyala..,mewata kohenda ban hinawenna one.. api danagathta udapaniddi oka wei kyala..,,,Singlish,76,11,False,False,False,
118,Meya gana nodanna kenek witharai meyatq lanwenna,meya gana nodanna kenek witharai meyatq lanwenna,,,Singlish,48,7,False,False,False,
119,Mk,mk,,,Singlish,2,1,False,False,False,
120,Mona ponnayekda mea isuruasahanayak thiyenawanam spa ekata palayan Kello amaruwe danna epa,mona ponnayekda mea isuruasahanayak thiyenawanam spa ekata palayan kello amaruwe danna epa,,,Singlish,90,12,False,False,False,
121,Monawa karannada hapala iwara unama iwarene,monawa karannada hapala iwara unama iwarene,,,Singlish,43,6,False,False,False,
122,"Monawada ban meke isuru kiyala thiyenne, boru huththawal noda hitapan","monawada ban meke isuru kiyala thiyenne, boru huththawal noda hitapan",,,Singlish,69,10,False,False,False,
123,Mu amu wancharayek muruga yrek,mu amu wancharayek muruga yrek,,,Singlish,30,5,False,False,False,
124,Mu dakinnath appiriyai awajathakaya.,mu dakinnath appiriyai awajathakaya.,,,Singlish,36,4,False,False,False,
125,Mu ponna avajathakaya iru renota kello denawa munta Nadu danna one,mu ponna avajathakaya iru renota kello denawa munta nadu danna one,,,Singlish,66,11,False,False,False,
126,Mu wancjarayak nea,mu wancjarayak nea,,,Singlish,18,3,False,False,False,
127,Muge hati,muge hati,,,Singlish,9,2,False,False,False,
128,Muu  yakek,muu yakek,,,Singlish,9,2,False,False,False,
129,Nakiya,nakiya,,,Singlish,6,1,False,False,False,
130,Nakiya wada krda hodta dan sapda,nakiya wada krda hodta dan sapda,,,Singlish,32,6,False,False,False,
131,"Naluwo kiyanne badukarayo.viwahawenn sudusu ne,niliyoth ehemai","naluwo kiyanne badukarayo.viwahawenn sudusu ne,niliyoth ehemai",,,Singlish,62,6,False,False,False,
132,nam baduma thamai,nam baduma thamai,,,Singlish,17,3,False,False,False,
133,Natuwa wadi,natuwa wadi,,,Singlish,11,2,False,False,False,
134,Nikanata hithuna meya nam Hoda ne kiyala,nikanata hithuna meya nam hoda ne kiyala,,,Singlish,40,7,False,False,False,
135,Ok badukarak sallalayak...,ok badukarak sallalayak..,,,Singlish,25,3,False,False,False,
136,Oka itin army karayek  ne ekai,oka itin army karayek ne ekai,,,Singlish,29,6,False,False,False,
137,Oka puk karayeklu,oka puk karayeklu,,,Singlish,17,3,False,False,False,
138,Okagen beruna unath loku deyak,okagen beruna unath loku deyak,,,Singlish,30,5,False,False,False,
139,Okata nama danna thibune wesawa kiyala,okata nama danna thibune wesawa kiyala,,,Singlish,38,6,False,False,False,
140,Okay ganuka madamadamata hodai mikitagh hoda wade baduwak,okay ganuka madamadamata hodai mikitagh hoda wade baduwak,,,Singlish,57,8,False,False,False,
141,"Ooka naakiyek waga nodenadha meyki uuwa leawakeawey Ooka uuta ooney thean walata earala maaru unaadha muuta meyketa seapa deeganna bearuwa meyke dhamalan geyaadha Eath mey Lagakadhiee Anungey kaar eakak ellan meykila Samaajayata peaanna Ragapeymak deamma.mun nalu batto Thaamath
Meyya hethaana Enney saaruk kiyala.Heru naalekaawata pin sedhu weanna meawan Kabbo Foom karanawaata.",ooka naakiyek waga nodenadha meyki uuwa leawakeawey ooka uuta ooney thean walata earala maaru unaadha muuta meyketa seapa deeganna bearuwa meyke dhamalan geyaadha eath mey lagakadhiee anungey kaar eakak ellan meykila samaajayata peaanna ragapeymak deamma.mun nalu batto thaamath meyya hethaana enney saaruk kiyala.heru naalekaawata pin sedhu weanna meawan kabbo foom karanawaata.,,,Singlish,379,51,False,False,False,
142,"Ow a,monada,nalu,nileange,hey I,oho ma,tamaa","ow a,monada,nalu,nileange,hey i,oho ma,tamaa",,,Singlish,44,4,False,False,False,
143,Ow Isuru babane,ow isuru babane,,,Singlish,15,3,False,False,False,
144,"Owa ohom thamai ekk kaden weta thawa 10k ennwa ekathu wenn 
Congratulations",owa ohom thamai ekk kaden weta thawa 10k ennwa ekathu wenn congratulations,,,Singlish,74,12,False,False,False,
145,Oya miniha inna nattiyakwat apinam balance ne godak Kal idala,oya miniha inna nattiyakwat apinam balance ne godak kal idala,,,Singlish,61,10,False,False,False,
146,Oya nakiya  hoda naki ganu kenek,oya nakiya hoda naki ganu kenek,,,Singlish,31,6,False,False,False,
147,Oya vedio eka bluwne e unt,oya vedio eka bluwne e unt,,,Singlish,26,6,False,False,False,
148,Oya wenuna eka hodai,oya wenuna eka hodai,,,Singlish,20,4,False,False,False,
149,Oyata   Thomas wei kiyala api hithuwa denwat aga eliye.daa gena Natalie nethuwa lejja batata jawat wanna alannah lassana agat tribunal kiyala owa elite da gena pennanna oneda. Gehunu lamayek ge charithaya godak watinawa den within monawa karannada oyata vitharak newer ne me vidiyata wenne,oyata thomas wei kiyala api hithuwa denwat aga eliye.daa gena natalie nethuwa lejja batata jawat wanna alannah lassana agat tribunal kiyala owa elite da gena pennanna oneda. gehunu lamayek ge charithaya godak watinawa den within monawa karannada oyata vitharak newer ne me vidiyata wenne,,,Singlish,287,44,False,False,False,
150,"Oye  2,Gewenne","oye 2,gewenne",,,Singlish,13,2,False,False,False,
151,Paw thamayi ahinsaka kollo me badu hinda,paw thamayi ahinsaka kollo me badu hinda,,,Singlish,40,7,False,False,False,
152,Ragana love wedi kal thiyenne ne bn. 🥹,ragana love wedi kal thiyenne ne bn. 🥹,,,Singlish,38,8,False,False,False,
153,Range pama sartha  kei,range pama sartha kei,,,Singlish,21,4,False,False,False,
154,rate metharam prashna thibeddi me kunugodawal awussanana nalikawalta kalaya thibimath aho Dukaki.,rate metharam prashna thibeddi me kunugodawal awussanana nalikawalta kalaya thibimath aho dukaki.,,,Singlish,97,12,False,False,False,
155,Tharindi  beruna anunawayen.,tharindi beruna anunawayen.,,,Singlish,27,3,False,False,False,
156,These are 'mala kolam',these are 'mala kolam',,,Singlish,22,4,False,False,False,
157,Thrindi beruna,thrindi beruna,,,Singlish,14,2,False,False,False,
158,Ubalage reddhawal apita wadak na.Isuru hoda na.,ubalage reddhawal apita wadak na.isuru hoda na.,,,Singlish,47,7,False,False,False,
159,Udata hoba wada  wayasata galapanna ona natanna,udata hoba wada wayasata galapanna ona natanna,,,Singlish,46,7,False,False,False,
160,Unta ona unama yalu Wenawa Apa unama Athaarinawa pasey owata goda wenna ona Tharam karmakarayo innawa Api owata kalaba wela wadak na,unta ona unama yalu wenawa apa unama athaarinawa pasey owata goda wenna ona tharam karmakarayo innawa api owata kalaba wela wadak na,,,Singlish,132,22,False,False,False,
161,Wena ekek gahala mattu athi ekai galapenne naththe dan,wena ekek gahala mattu athi ekai galapenne naththe dan,,,Singlish,54,9,False,False,False,
162,You tube  karayo dan ithin vikunan kanawa meywa,you tube karayo dan ithin vikunan kanawa meywa,,,Singlish,46,8,False,False,False,
163,  mod pkya ekt comments blnn klin match ek balala idpn,mod pkya ekt comments blnn klin match ek balala idpn,,,Singlish,52,10,False,False,False,
164,Adada first time match ekk blnne,adada first time match ekk blnne,,,Singlish,32,6,False,False,False,
165,Ado danushaka uba marai ban..good luck all.,ado danushaka uba marai ban..good luck all.,,,Singlish,43,7,False,False,False,
166,Adoo milinaya....,adoo milinaya..,,,Singlish,15,2,False,False,False,
167,Ammo dan nam soft ball diyunuvanam supiri bn,ammo dan nam soft ball diyunuvanam supiri bn,,,Singlish,44,8,False,False,False,
168,Anuradapura leo,anuradapura leo,,,Singlish,15,2,False,False,False,
169,Aparade oyala finel giya nam cup eka lankawata ganna thibba,aparade oyala finel giya nam cup eka lankawata ganna thibba,,,Singlish,59,10,False,False,False,
170,Ape kollo,ape kollo,,,Singlish,9,2,False,False,False,
171,Ape lankawe kollo,ape lankawe kollo,,,Singlish,17,3,False,False,False,
172,Asai ban ...sathutui,asai ban ..sathutui,,,Singlish,19,3,False,False,False,
173,Cemara karana eka nm denawa niyametama hode thanx,cemara karana eka nm denawa niyametama hode thanx,,,Singlish,49,8,False,False,False,
174,Champion india neda,champion india neda,,,Singlish,19,3,False,False,False,
175,Come on srilanka,come on srilanka,,,Singlish,16,3,False,False,False,
176,Conor macgr da comment krnne,conor macgr da comment krnne,,,Singlish,28,5,False,False,False,
177,Damala gahanne,damala gahanne,,,Singlish,14,2,False,False,False,
178,danushka ayiyh jayama wewa,danushka ayiyh jayama wewa,,,Singlish,26,4,False,False,False,
179,Danushka big man big show,danushka big man big show,,,Singlish,25,5,False,False,False,
180,Danushka maru bn,danushka maru bn,,,Singlish,16,3,False,False,False,
181,Danushka sampath,danushka sampath,,,Singlish,16,2,False,False,False,
182,Danushka Sampath🇱🇰,danushka sampath🇱🇰,,,Singlish,18,2,False,False,False,
183,Danushka.,danushka.,,,Singlish,9,1,False,False,False,
184,Dhanushka Bro. Ekenma oluwa pahath karala respect  Sinhayek ekenma,dhanushka bro. ekenma oluwa pahath karala respect sinhayek ekenma,,,Singlish,65,9,False,False,False,
185,Dhaushka lankawe team ekata dapallako.mun real waddone,dhaushka lankawe team ekata dapallako.mun real waddone,,,Singlish,54,7,False,False,False,
