sample_id,text,source_row,review_status,review_reason
SI00025,Katha wedak na lankawe hamathanakama neethiyak danna oni. Mewa thahanam kiyala. Kauru hari anawaseren hadala hnam galawala ain karanna,26,pending,
SI00026,Me minisunta kada hadala dila mewa ainkaranam hari kochara unath ahinsaka minisu,27,pending,
SI00027,no shop on the road,28,pending,
SI00028,Nodakin nnp kalakanni,29,pending,
SI00029,Oka Dana manussaya dannawa owa kawdawath istera na kiyala yanna ona welawata yanna ona,30,pending,
SI00030,Ookata thamai Clean siri Lanka kiyanne ooi,31,pending,
SI00031,Owata warning deela tibbe......owa krn natuwa Meka hadanna ba ...kee denek accident wela tiynawda oya hariye....main reason eka oka ....,32,pending,
SI00032,Oya wage rassawal karanawata wadiya hondai guu kawanam,33,pending,
SI00033,para aine kada noda kele kada dannada pako,34,pending,
SI00034,Parawal okkoma mun balen allagena,35,pending,
SI00035,parawalwala latapata atawagena pissu keliyata hariyanne na bolaw..maruma wedak..,36,pending,
SI00036,PUKARUDAYATA JAYEN JAYAMA WEWAAAAAAAAAA.,37,pending,
SI00037,Punarude pataaaaaaaan gatta wirai,38,pending,
SI00038,thambiyo hamathanama idam allanawa kadawal danwa...ape sinhalayonta tamai me kenehelikam...sinhala baudda rataka mewa wenne,39,pending,
SI00039,thanne kumbure palama gawa idala stand eka gawata awa kenek dannawa. e hariye block eka ane please e tika nam kohomahari hadenna one. minissunta asadaranayak nikara,40,pending,
SI00040,Thopi rallata chande dela den sanepada,41,pending,
SI00041,Thopi ussala dunnana .,42,pending,
SI00042,Topitha hoda wade,43,pending,
SI00043,"Ubala,mahindge,ellila,desapalanaya,karala
,owaa,alla,gaht,the",44,pending,
SI00044,Wenathanak denna paw me minissu,45,pending,
SI00045,What about dadley sirisena hotel ???,46,pending,
SI00046,What about pettah,47,pending,
SI00047,2ma wade giya neda dan 2tama huda wede....,48,pending,
SI00048,Ai baluwe,49,pending,
SI00049,Ai oyaminiha ohomai kiyala  therunnedda? Aiyoo.,50,pending,
SI00050,"Aiyooo oya isuru gena danna tharama thamai.
Muta ahu wena kello paw.",51,pending,
SI00051,Ammo Tharindi beruna,52,pending,
SI00052,"Ane ban ubalata Mokada une kiyana dewal apita wadak ne ay hutho mewa madyata dane owa nawathapan ban , Dushantha baduwa uba eki tiyagena Nikam hitiyada karana one dewal uba karane Malith patta waseyak ban",53,pending,
SI00053,Anee manda mewata monawa kiyannada kiyala kalin sithanna thibunu deyak dan siyalla siduwee hamariy........giya nuwana athun lawaavath addawaaganna   ba.....,54,pending,
SI00054,Aniwarryen ane me huththiyo bara gnn oni thram ewun innw,55,pending,
SI00055,Aparade oyala adarenma hitiya ai mey,56,pending,
SI00056,API danne ne attha mokakda kiyala.kage unath attha adarayaknm bindenna honda ne,57,pending,
SI00057,Api nam hithuwa wadi  kal yanne ne kiyala..kohomath Isuru wa nm meyta galapenne ne..,58,pending,
SI00058,API owa kiwwa eay Gani kasada beadsla inna puluwan keynak neamai gahala wisikaranna puluwan keynak ganiyak unama headiyawa thiyanna ona,59,pending,
SI00059,Apita owa wadk na yako,60,pending,
SI00060,Apita panda oii itim,61,pending,
SI00061,Apita wadak nahane... Un Mari karath Akai natahath Akai .. lankawa unta hari puke amaruwa ... Ne,62,pending,
SI00062,Apta  moko  kauda  me,63,pending,
SI00063,Aththmaii.waradinna.koi.walda.kiyala.einnapu,64,pending,
SI00064,Badu king,65,pending,
SI00065,Chnnaya wge,66,pending,
SI00066,Coken isuru genu gela penne na,67,pending,
SI00067,Den hukagana ewarai,68,pending,
SI00068,dennama babala,69,pending,
SI00069,Deshani lassana talented lamyk,70,pending,
SI00070,Designi hodatheeranayak.  Godluk,71,pending,
SI00071,Dn deshani janasathui,72,pending,
SI00072,E wunata Isuru Deshanita kotala dala gihin,73,pending,
SI00073,Ehema wenda kiyala mama nam pethuwa ubata dukaida un denna wen una eka,74,pending,
SI00074,Eka aththa,75,pending,
SI00075,Ekita ona une kauru hari allan pemas wenna paw e unata isuru,76,pending,
SI00076,eknma,77,needs_review,single_word
SI00077,Eththewo gihin ieerada lamayo,78,pending,
SI00078,Gon ganu may kupadiyata ahuunane,79,pending,
SI00079,Gon ganu thopi aththen aththata pana pana ganikawo wage idapalla.jara ganu unge nisi wayasata badapallako kollek hoyan naki eun hoya gaththa,80,pending,
SI00080,Habai wiswasa karannath one tikak hithala balala hidei...A moka me kiyana kella hariyat boru kiyanawa  mn me katahada ahenakotama me video eka balanna kalinma hithuwa...boru kiyala...eth baluwa...mekie patta boru kiyanne....mn hidata dannawa me kata hada...,81,pending,
SI00081,He spoiled your life. But you thought that acter will be a hero you are wrong he is flirting. I am blaming your parents. Consequence will be drastic.,82,pending,
SI00082,Hi,83,needs_review,single_word
SI00084,hmmat isuru bosa adahanna watina charithaykne oyagammk thamai kollo,85,pending,
SI00085,Hoda wede,86,pending,
SI00086,"I don’t know much about Deshani, but she’s not a little kid. If she has common sense, she should know about Isuru. Rather than seeking sympathy from the public, she should remain quiet and maintain her dignity.",87,pending,
SI00087,I. Am Ready,88,pending,
SI00088,Isuru kiyanne sakkiliyek u hirhan inne u hari porak kiyala paka hukanawa ath harinawa   pandethakam dhodawanawa amu gawaya,89,pending,
SI00089,Isuru maha jara ykek deshani paw oya narumayagen beruna eka hodai,90,pending,
SI00090,Isuru thami hodatama kare.,91,pending,
SI00091,isuru.  Narumayek.   Okaata.   Girl. Friends. La. Hariyanne. Ne. Isuru.  Jara. Yakek,92,pending,
SI00092,Isuru.harima.hodai.mama.kamati.kollek,93,pending,
SI00093,Isuruge 3thun weni kena kawuda danne ne,94,pending,
SI00094,Isurut ganu hema thenama awanka ne ekai aththa tharinditath kale okamai buruwa,95,pending,
SI00095,Isuruta hoda wayasa a kenek,96,pending,
SI00096,Isuruta nithiyanu kula sambath hariyanne naha hora kanne aeka thama hariyanne,97,pending,
SI00097,isuruth sanath gunathilakath ekama vidiya thamai.,98,pending,
SI00098,Isuruwa Mata epama une tharindita karapu de nisa ..Mata muwa pennama be,99,pending,
SI00099,Isuruwaa kohomath wal kupaadiyaa,100,pending,
SI00100,kalakanniya,101,needs_review,single_word
SI00101,Kello mi vassiyo munta ahu wenne,102,pending,
SI00102,Ko Ara dipu Lori tok ane hukaganin apita mokada,103,pending,
SI00103,Komath isuru ranjanta wediya ku...sampoorna karaganna api kiyamu hoda kukulek dennatama love hariyanne ne porawal kiyala pennuwata kora dennek,104,pending,
SI00104,Lankawama kiyaddi ahuwe nati unata Hoda wade oka niwaradi Kara Ganna tibuna kale oka nokara gattata Hoda wade Dan wat terun gatta eka loku deyak unat mat ganu kenek nisa dukayi,105,pending,
SI00105,Ma..ganuneta..pesu..anunega..dawale..hoyanawa,106,pending,
SI00106,Malli hari Malli Owwa thiyenne Athi wenna Nethi wenna,107,pending,
SI00107,Mama nam  me dennage  palamu dekka  dawase  kiuwe me katawata  wede  azusa nete  bawai.yaa deka  norata  rata pehemakda  neta,108,pending,
SI00108,Marry kranna kalin ohoma una eka hodai..harinam e kella sathutu wenna oni u gana bandinna kalin dangena ain wenna puluwan una ekata..,109,pending,
SI00109,Me balla nakiyeknemuta naki vise gal musalayek hati muge,110,pending,
SI00110,Me dennama galpenne na kiyala hithuwa,111,pending,
SI00111,Me lady job ekenuth Ayn una da koheda.,112,pending,
SI00112,Me naliyata mokata kemathi unada me kella,113,pending,
SI00113,Meka krlek rakagena adare karanna danawada awajatakayek sakkiliyek iya meka haficha amekge thattekge daruwek wenna ba kello selam baduwage iya nakiya sadakalina taniweyak,114,pending,
SI00114,Meka wate kotanawa athi nakiyaya..iya.mekata utsana unatath lajja na lankawema kelinna puluwan ekama piromiyada,115,pending,
SI00115,meun denn tathtai duwai wage newei siiyai minibiri wage wayas parataraya.,116,pending,
SI00116,Mewa danna epa sajayata wegtn ne eka hodin awaboda karaganna,117,pending,
SI00117,Mewata kohenda ban hinawenna one.. api danagathta udapaniddi oka wei kyala..,118,pending,
SI00118,Meya gana nodanna kenek witharai meyatq lanwenna,119,pending,
SI00119,Mk,120,needs_review,single_word
SI00120,Mona ponnayekda mea isuruasahanayak thiyenawanam spa ekata palayan Kello amaruwe danna epa,121,pending,
SI00121,Monawa karannada hapala iwara unama iwarene,122,pending,
SI00122,"Monawada ban meke isuru kiyala thiyenne, boru huththawal noda hitapan",123,pending,
SI00123,Mu amu wancharayek muruga yrek,124,pending,
SI00124,Mu dakinnath appiriyai awajathakaya.,125,pending,
SI00125,Mu ponna avajathakaya iru renota kello denawa munta Nadu danna one,126,pending,
SI00126,Mu wancjarayak nea,127,pending,
SI00127,Muge hati,128,pending,
SI00128,Muu  yakek,129,pending,
SI00129,Nakiya,130,needs_review,single_word
SI00130,Nakiya wada krda hodta dan sapda,131,pending,
SI00131,"Naluwo kiyanne badukarayo.viwahawenn sudusu ne,niliyoth ehemai",132,pending,
SI00132,nam baduma thamai,133,pending,
SI00133,Natuwa wadi,134,pending,
SI00134,Nikanata hithuna meya nam Hoda ne kiyala,135,pending,
SI00135,Ok badukarak sallalayak...,136,pending,
SI00136,Oka itin army karayek  ne ekai,137,pending,
SI00137,Oka puk karayeklu,138,pending,
SI00138,Okagen beruna unath loku deyak,139,pending,
SI00139,Okata nama danna thibune wesawa kiyala,140,pending,
SI00140,Okay ganuka madamadamata hodai mikitagh hoda wade baduwak,141,pending,
SI00141,"Ooka naakiyek waga nodenadha meyki uuwa leawakeawey Ooka uuta ooney thean walata earala maaru unaadha muuta meyketa seapa deeganna bearuwa meyke dhamalan geyaadha Eath mey Lagakadhiee Anungey kaar eakak ellan meykila Samaajayata peaanna Ragapeymak deamma.mun nalu batto Thaamath
Meyya hethaana Enney saaruk kiyala.Heru naalekaawata pin sedhu weanna meawan Kabbo Foom karanawaata.",142,pending,
SI00142,"Ow a,monada,nalu,nileange,hey I,oho ma,tamaa",143,pending,
SI00143,Ow Isuru babane,144,pending,
SI00144,"Owa ohom thamai ekk kaden weta thawa 10k ennwa ekathu wenn 
Congratulations",145,pending,
SI00145,Oya miniha inna nattiyakwat apinam balance ne godak Kal idala,146,pending,
SI00146,Oya nakiya  hoda naki ganu kenek,147,pending,
SI00147,Oya vedio eka bluwne e unt,148,pending,
SI00148,Oya wenuna eka hodai,149,pending,
SI00149,Oyata   Thomas wei kiyala api hithuwa denwat aga eliye.daa gena Natalie nethuwa lejja batata jawat wanna alannah lassana agat tribunal kiyala owa elite da gena pennanna oneda. Gehunu lamayek ge charithaya godak watinawa den within monawa karannada oyata vitharak newer ne me vidiyata wenne,150,pending,
SI00150,"Oye  2,Gewenne",151,pending,
SI00151,Paw thamayi ahinsaka kollo me badu hinda,152,pending,
SI00152,Ragana love wedi kal thiyenne ne bn. 🥹,153,pending,
SI00153,Range pama sartha  kei,154,pending,
SI00154,rate metharam prashna thibeddi me kunugodawal awussanana nalikawalta kalaya thibimath aho Dukaki.,155,pending,
SI00155,Tharindi  beruna anunawayen.,156,pending,
SI00156,These are 'mala kolam',157,pending,
SI00157,Thrindi beruna,158,pending,
SI00158,Ubalage reddhawal apita wadak na.Isuru hoda na.,159,pending,
SI00159,Udata hoba wada  wayasata galapanna ona natanna,160,pending,
SI00160,Unta ona unama yalu Wenawa Apa unama Athaarinawa pasey owata goda wenna ona Tharam karmakarayo innawa Api owata kalaba wela wadak na,161,pending,
SI00161,Wena ekek gahala mattu athi ekai galapenne naththe dan,162,pending,
SI00162,You tube  karayo dan ithin vikunan kanawa meywa,163,pending,
SI00163,  mod pkya ekt comments blnn klin match ek balala idpn,164,pending,
SI00164,Adada first time match ekk blnne,165,pending,
SI00165,Ado danushaka uba marai ban..good luck all.,166,pending,
SI00166,Adoo milinaya....,167,pending,
SI00167,Ammo dan nam soft ball diyunuvanam supiri bn,168,pending,
SI00168,Anuradapura leo,169,pending,
SI00169,Aparade oyala finel giya nam cup eka lankawata ganna thibba,170,pending,
SI00170,Ape kollo,171,pending,
SI00171,Ape lankawe kollo,172,pending,
SI00172,Asai ban ...sathutui,173,pending,
SI00173,Cemara karana eka nm denawa niyametama hode thanx,174,pending,
SI00174,Champion india neda,175,pending,
SI00175,Come on srilanka,176,pending,
SI00176,Conor macgr da comment krnne,177,pending,
SI00177,Damala gahanne,178,pending,
SI00178,danushka ayiyh jayama wewa,179,pending,
SI00179,Danushka big man big show,180,pending,
SI00180,Danushka maru bn,181,pending,
SI00181,Danushka sampath,182,pending,
SI00182,Danushka Sampath🇱🇰,183,pending,
SI00183,Danushka.,184,needs_review,single_word
SI00184,Dhanushka Bro. Ekenma oluwa pahath karala respect  Sinhayek ekenma,185,pending,
SI00185,Dhaushka lankawe team ekata dapallako.mun real waddone,186,pending,
SI00186,eka maru,187,pending,
SI00187,Ela,188,needs_review,single_word
SI00188,English commentator,189,pending,
SI00189,Good luck brothers,190,pending,
SI00190,Great..,191,needs_review,single_word
SI00191,Hutto me wage comment damma asawen balana unta epa wenawa ube pake comment eken danagaghthe lankawa dinala kiyla e nisa balala wadak nane huto,192,pending,
SI00192,"ihalata yanna idapu manusseyek tamai,kohomada 6 gahanna vidiya, ape eke lontheyota puluwanda,dasun chenaka vitharai inne",193,pending,
SI00193,India,194,needs_review,single_word
SI00194,Indiawen kabbo tikak gennala match eka dinuwa neda,195,pending,
SI00195,Is this guy speaking English or just confused like wtf,196,pending,
SI00196,Iya bn. Me mond,197,pending,
SI00197,"Kauda ban oya english walin wiathara wicharaya karana pora... sinhala , temil hondata wistharawicharaya karanawa. English walata awama monawada hira karagana wage danenne patta aul machan...  ekath hondata karanna ethakota okkoma hondai.....",198,pending,
SI00198,Kauda yako English walin commentate karana ekata rewilada,199,pending,
SI00199,Kavidu thmi gammta allala dunne mach eka  ds supiriyk,200,pending,
SI00200,ko sinna ?,201,pending,
SI00201,koheda meka thiyenne,202,pending,
SI00202,Kohli nane,203,pending,
SI00203,Kusal mandis i love you kusal mandis test captain karamu you my everything kusal I need you kusal mandis,204,pending,
SI00204,Lanka timeka inna one kolla dhanuska sampath 🫡🫡🫡🫡🫡️️,205,pending,
SI00205,Lankawa,206,needs_review,single_word
SI00206,mewane match. ara bookie salli nettm lankawa 1st,207,pending,
SI00207,mokkda mee ground eka,208,pending,
SI00208,Niyamai 🇱🇰,209,needs_review,single_word
SI00209,Ohoma ball dammama ona ekek 6 ewa gahanawa,210,pending,
SI00210,Okkoma hodai commenty eakanam ahan inna be oiiii,211,pending,
SI00211,One man show danushka aiya,212,pending,
SI00212,Patta lankawa,213,pending,
SI00213,Sirwt oi Betta thada wela wge,214,pending,
SI00214,Soft ball hard ball kiynne dekk,215,pending,
SI00215,Ayyow ganata thiyenwne,216,pending,
SI00216,Wedi tiyanna puluwanne ana notaka dawanay karama,217,pending,
SI00217,nawaththanna kiyaddi nawaththuwanam hari,218,pending,
SI00218,Oya wage unta ohoma thama krnna one,219,pending,
SI00219,ade meka daunlod dapan ko😂❤️‍🩹,220,pending,
SI00220,Ammo,221,needs_review,single_word
SI00221,arun denna gear 2i da kohedo damme😅,222,pending,
SI00222,Bussted 😞,223,needs_review,single_word
SI00223,crima seen eke u inne,224,pending,
SI00224,Duwanawada duwanawada mita police: 600 duwanna malli😂,225,pending,
SI00225,G.T.A ගේම් එකහ වගේ නිකම්😂,226,needs_review,non_latin_script
SI00226,good police 👍,227,pending,
SI00227,GTA Sri lanka,228,pending,
SI00228,GTA srinlanka,229,pending,
SI00229,harine,230,needs_review,single_word
SI00230,hodawede,231,needs_review,single_word
SI00231,Hto ghost riderda😹,232,pending,
SI00232,Kaneparawal kala epa wei😅,233,pending,
SI00233,koheda bn oya,234,pending,
SI00234,lajjahe barilu ..athariya nam 😂,235,pending,
SI00235,maru,236,needs_review,single_word
SI00236,Me koheda,237,pending,
SI00238,NIAMAI SIR ❤️❤️❤️,239,pending,
SI00239,paw appa😂😂,240,pending,
SI00240,pawu haloo u bayata ehama karala tiyanna 🙏🙏🙏,241,pending,
SI00241,podi ekatai antitai ganak denna ona meka ragapawata dan godak wairal,242,pending,
SI00242,Polisiy ekk race ekak 🥹🫶,243,pending,
SI00243,Sew denoko mara athsl 😁😂. Fb dakw mn,244,pending,
SI00244,Super Shiva 🥰,245,pending,
SI00245,Oka day vlog ekaka neweyine .oyala negitte11tane.aya 24hours challange ekak oni,246,pending,
SI00246,Chanel eka ahamben set une mula idan okkoma baluwa sathiyakin supiriy,247,pending,
SI00247,Oya potha thama [ kuruvane ] kiyala kiyanne muslim ayage,248,pending,
SI00248,ayiye mata camarawak aran dennako mata phone ekak wath na ane mata thiyenne computer ekak witharayi,249,pending,
SI00249,Apahu awoth enna Ceylonian ekata dine In walata. Man restaurant manager,250,pending,
SI00250,Quran eka ( Muslim Ayage aagamika granthaya ),251,pending,
SI00251,Ane kelleeeee,252,pending,
SI00252,ow kuran kiyanne bible eke ma parani giwisuma ,253,pending,
SI00253,Muslim prayer Catholic prayer wenasak na language eka witharai wenas wenne ,254,pending,
SI00254,Goddak dewal same ,255,pending,
SI00255,Muslim aya nabi thuma kiyanne Jesu thuma ta ,256,pending,
SI00256,Allah kiyanne catholic aya ge God ,257,pending,
SI00257,Onna oya wage goddak samanakn thiyanawa,258,pending,
SI00258,Mama danakan balan hitiye mata like 20k oonee,259,pending,
SI00259,Mama 3 replay karanna heshan aiyye,260,pending,
SI00260,Mayam wela wage........,261,pending,
SI00261,Oya dennatamaadareyi,262,pending,
SI00262,math ehema thama kohoma bivvath ekayine,263,pending,
SI00263,Oyagollo hitapu room eka ac da,264,pending,
SI00264,"Hy aiyyi,akkai",265,pending,
SI00265,Supiriyak thamai adath..jayawewaaaa  adarei dennatama,266,pending,
SI00266,Oya dennage wedin widiyo eka,267,pending,
SI00267,ayiye drone yavanna barida,268,pending,
SI00268,oyala tham inne dubaida. yuddaya thama thiyenawada. wisthara tikak kiyannakoo ilaga vlog eken kiyannakoo. parissamin inna.,269,pending,
SI00269,Akki sudu wala,270,pending,
SI00270,Aiye oyage drone eka vikunanawada,271,pending,
SI00271,Adareyi dennatama,272,pending,
SI00272,Ayyage saha Akkage narthana kawshalya deka apa mahath prithiyata path wiya 🫶,273,pending,
SI00273,Heahan ayye oya dance eka 2x  wadikarala balannako,274,pending,
SI00274,Ayye bomba gahanne nadda ape ammai thaththai inna pattata gahanawane,275,pending,
SI00275,hyee  heshan  aiye,276,pending,
SI00276,Hari asawen akkagei ayyagei videos bala nawa ane,277,pending,
SI00277,Ada video eka danna tikak parakku wuna neda,278,pending,
SI00278,Ammo ammo dance eka,279,pending,
SI00279,comment section ekata tea genawa,280,pending,
SI00280,Piyu akkai heshan aiyyi lassanai,281,pending,
SI00281,Ayye adath supiri,282,pending,
SI00282,inoka akka wage hi kiwwa vidiya,283,pending,
SI00283,Mama oyage shop ekata awa namuth oya hitiye naha 2025/12/21 Nomber eka dunna namuth oya koll gaththe naha oya   anuradahapuraya ghilla hitiya kiwwa,284,pending,
SI00284,Ekama vibe eke couple ekak oya denna..........e wagema kisima lokukamak na adareyyyyy dennatama godariyak parakku wenna epa aye ikmanata vlog ekak ona,285,pending,
SI00285,Oyala ohe avidinna paraval Hoya ganne kohomada,286,pending,
SI00286,Heshan nam natum thamay,287,pending,
SI00287,THANIYAMA KANNA EPA ITHIN DILA KANNA,288,pending,
SI00288,Trinco vala vlog eka oni,289,pending,
SI00289,Akka tawath lassana wela🫣🩷,290,pending,
SI00290,hena gahapn ponnayata,291,pending,
SI00291,Ane oya denna shook godk adreyi oyalage video danakn balan inne,292,pending,
SI00292,Maru natilla,293,pending,
SI00293,Dakka sooym coupel eka,294,pending,
SI00294,Hamadama ayyage vlog blna aya me paththata enakan balan inne.adarei dennatama,295,pending,
SI00295,Aiye mage chanel ekatath udau karannako,296,pending,
SI00296,me wage tikk diga videos hamadama danna..,297,pending,
SI00297,ane akki nm harima shoiii,298,pending,
SI00298,Oyala denna  maru akkita thama godak asa mn  oyala denna,299,pending,
SI00299,Thanks replay karata,300,pending,
SI00300,aiyee mama youtube chanel ekak patan ganna hadanne. music mata aiyagen aha ganna deeval tikak thiyenava Whatsapp Number eka denna puluvanda. ada Vlog ekath Supiri,301,pending,
SI00301,Owa jmiti hari lassanai.duwe.,302,pending,
SI00302,issara wage na,303,pending,
SI00303,Akki oyage kondeta moko une.,304,pending,
SI00304,Mage fv cuple eka,305,pending,
SI00305,ane piumi akki ohen eddi jumka jewellery genll aduvt dennko mokd mehe gann giym ptt ganan appa plzz.,306,pending,
SI00306,Lassaai vlog ek hemadama vlog genna,307,pending,
SI00307,Lankawata awe nadda bn,308,pending,
SI00308,Adew mage Namath Heshan kiyala mathak wunama🥹️‍,309,pending,
SI00309,Akkage tamile vibe ek maraa lassani venda vge dennama lassanii️,310,pending,
SI00310,Lankawata enne mona kaleda,311,pending,
SI00311,Piyumi Akka  Maru  heshanut maru,312,pending,
SI00312,Heshan aiye videos godak lassanay,313,pending,
SI00313,Denma lamek ema hadanna idea ekak thiyeda,314,pending,
SI00314,Mama aurudu 13k dubai wala hitiya mama gedaraka weda keruwe  mama ratawal 6kata giya hema ratakatama 3/4 serayak giya  u a e oya rate kotas 7k thiyenawa,315,pending,
SI00315,malanam athule ne aiye,316,pending,
SI00316,ammo dance eka maru,317,pending,
SI00317,Harima lassani vlog eka aiye,318,pending,
SI00318,heshan ponnaya okata naginne na,319,pending,
SI00319,Lassani ane vlog eka,320,pending,
SI00320,Akka waddek thamai aiyah ta Dan hodata dance karanna puluwan,321,pending,
SI00321,Hukanna ba vidiyo oni,322,pending,
SI00322,Adanam vlog eka windai 15 th wada parakkui ane ilaga japan yana vlog ekak balnanna puluwan weida ane me krnaya thiynne ane heshan aiyyage nathuam ane  nikan ara mokadda holanamk wahila wage natanne dennama ehemai an,323,pending,
SI00323,Winadi 2k hariyata madinna oni hode ,324,pending,
SI00324,Dath madhala kata hodhanna th Hodha na madapu eka wadk na,325,pending,
SI00325,Me oyala lankawa neda,326,pending,
SI00326,Lassanai kathai kiyannath bane,327,pending,
SI00327,Maru affa,328,pending,
SI00328,iPhone   ganan kohomada,329,pending,
SI00329,Supiri ayye akke adarei hamadamath thava vlogs oni digatama,330,pending,
SI00330,yako mama baluva oyalage da kiyala thamnel eke thibba nisa,331,pending,
SI00331,ado ayeh uba mara gemak deela hada gaththa thana gf nisa chatar wena ek awl,332,pending,
SI00332,Heshan aiyage Dance aka gammak kiyana set aka me paththata  ️,333,pending,
SI00333,eka aththa,334,pending,
SI00334,akka  natavana vlog ekak ona,335,pending,
SI00335,Digatama Oheda Inne..Aye Kankawata Enne Nedda Oyala,336,pending,
SI00336,Mata like tikak dala dipanko,337,pending,
SI00337,Me ayye please reply karanna koooo oya harima lassana i anee akki oya patta,338,pending,
SI00338,mata like oni,339,pending,
SI00339,Piyumi nangi katharagama gihin wage,340,pending,
SI00340,Mama asayi oyalage volg valata,341,pending,
SI00341,First comment eka,342,pending,
SI00342,Math. Adare. Ayye. Akke,343,pending,
SI00343,.....supiri............,344,needs_review,single_word
SI00344,Red  food challenge ekak oni,345,pending,
SI00345,Mundennata amu kawilada mandamaru life eka,346,pending,
SI00346,Ayye oyalata war eka nadda,347,pending,
SI00347,Onna beluva vedio Eka maru,348,pending,
SI00348,Awasana tika maru anee,349,pending,
SI00349,Ammmoooo supiri dance eka wow,350,pending,
SI00350,ko ane oyage panipuri,351,pending,
SI00351,Ai vlog eka danna mechchara pahu une,352,pending,
SI00352,Akkatayi ayyatayi adare kattiya me paththata,353,pending,
SI00353,Narthanaya maru,354,pending,
SI00354,Next vlog eke eka try karanna. Please,355,pending,
SI00355,Adath supiriyak thamai heshan aiye ,356,pending,
SI00356,Ballanna tikak parakku Una sorry ,357,pending,
SI00357,Akkige athel,358,pending,
SI00358,adareyi ayiye ah,359,pending,
SI00359,Me wage vlog onemai ewage ewa dannko,360,pending,
SI00360,Danns eka 2× dala balapu   mama,361,pending,
SI00361,Dan Lamayek hadanna kale hode,362,pending,
SI00362,Dennama godak lassanai  dennatama adarei,363,pending,
SI00363,Akkatayi Ayiyatayi Godariyak adareyi ️,364,pending,
SI00364,Lassana malak wage aiya hina wenakota malakwath penna nethu ane manda aaa...️‍,365,pending,
SI00365,e dennata ona time eke hdwi. ubata mokadda tiyena hadissiya,366,pending,
SI00366,Cupiri ayyee dance eka,367,pending,
SI00367,Traveling Valata Dubai Enna Ajansi Monawd Aiyhe,368,pending,
SI00368,Oyalage dogla denna ko,369,pending,
SI00369,Ammo patta pattaakka ada uda ammooooo,370,pending,
SI00370,Global village vlog ekk dala thibbda,371,pending,
SI00371,nangige ammai thaththai parissemen needa,372,pending,
SI00372,Supiri habai parakku wuna man,373,pending,
SI00373,Apu gaman balanne bari una sorry,374,pending,
SI00374,Challenge video eka ona,375,pending,
SI00375,Akka mahath wela,376,pending,
SI00376,ammata siri hithuwatath wada lassana vlog ekak ,377,pending,
SI00377,thawa day vlog one,378,pending,
SI00378,Mokkda hotel eka,379,pending,
SI00379,Oheta missile wadinne nadda,380,pending,
SI00380,Athal athal wenasak na ithin ahadama wage athal lassana vlognan heshan aiya thama,381,pending,
SI00381,wedi saddyayak ahune mata witharada,382,pending,
SI00382,Maru atal ane denm satutin inna hadmadm aiye akke,383,pending,
SI00383,125cc akka hi hi️,384,pending,
SI00384,Heshan ayiye dans eka maru hode 🫶,385,pending,
SI00385,Ane ikmanata challenge video ekak genna barida me video ekath maru,386,pending,
SI00386,Rush ekata gahamuda supiri bodi kit ekak,387,pending,
SI00387,Shoii ane oyala,388,pending,
SI00388,supiri class ekak karanna barida,389,pending,
SI00389,Ane 🥹️ Thank youu ..adareii,390,pending,
SI00390,Dance eka maru,391,pending,
SI00391,Akka mara lassanayi,392,pending,
SI00392,Thatta kenek venna kale hari nadda,393,pending,
SI00393,Hi Heshan aiye riply ekak one,394,pending,
SI00394,Ela ela,395,pending,
