source_row,text,removal_reason
10554,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
10824,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
10864,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
10868,obe hisata ihalin,exact_duplicate
11092,oba panayakata kemathida sthuthiyi,exact_duplicate
11270,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
11541,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
12272,[Unkown] [Unkown] kiyanna,exact_duplicate
12273,[Unkown] kiyanna [Unkown],exact_duplicate
12274,[Unkown] [Unkown] kiyanna,exact_duplicate
12675,ada obata kohomada hondayi mama hithanne,exact_duplicate
12775,[Unkown] ow [Unkown],exact_duplicate
12878,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
13048,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
14647,mama oyata adareyi mama oyata adareyi,exact_duplicate
14655,[Unkown] [Unkown],marker_only
14897,[Unkown] [Unkown] [Unkown] [Unkown],marker_only
15454,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
15983,[Unkown] [Unkown],marker_only
16466,mama danne nehe welawa keeyada kiyala,exact_duplicate
16497,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
17041,oh [Unkown] e oba hayi luwee,exact_duplicate
18098,onema lipiyak [Unkown] netha,exact_duplicate
18150,epamanakda nowa,exact_duplicate
18154,epamanakda nowa,exact_duplicate
18202,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
18287,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
18741,ithin eyala oyawa maranna hadanawa oyage baba mata kiyanne ne oyage namath rosmaree kiyala ne ane eyala enawa matayi mage [Unkown],exact_duplicate
18743,enna sonduriya me kawuda enne eya mayikal mayikal mayars,exact_duplicate
18967,mokakda me mukuth ne,exact_duplicate
18977,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
19148,[Unkown],marker_only
19465,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
19516,eya koheda mama danne nehe,exact_duplicate
19520,oba adahas karanne kumakdeyi mama nodanimi,exact_duplicate
19622,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
19945,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
20399,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
20465,mama e gena hithanne ne kolla,exact_duplicate
20953,sampradaya eka thamayi apita thiyenne,exact_duplicate
21010,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
21555,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
21708,sthuthiyi oba sadarayen piliganimu,exact_duplicate
21812,[Unkown],marker_only
22002,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
22066,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
22559,kawuda me mage birinda,exact_duplicate
22794,[Unkown] [Unkown] [Unkown] [Unkown],marker_only
22802,[Unkown] [Unkown] [Unkown] [Unkown],marker_only
22820,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
23068,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
23330,mudal gena kumak genada [Unkown],exact_duplicate
23334,mata eka karanna be eyi beri,exact_duplicate
23870,eyin adahas karanne kumakda [Unkown],exact_duplicate
24370,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
25405,[Unkown] [Unkown] [Unkown],marker_only
25762,oya koheda yanne mama danne nehe,exact_duplicate
25879,ithin mata kiyanna mama thawamath piyapath ethi [Unkown] oba mawa gena yana bawa oba dannawa oba mawa regena yana bawa,exact_duplicate
25910,owun koheda jek wadi wenna,exact_duplicate
25911,owun wadi wee sitinne koheda [Unkown],exact_duplicate
25912,wadi wenna epa mage pawula koheda wenne kiyala,exact_duplicate
25913,ne mokada wenne koheda mage pawula iwarayi jek okkoma iwarayi,exact_duplicate
25914,eka iwarayi jek un koheda giye kiyala,exact_duplicate
25915,owun kohe giyada awadi wee oba samanga sellam kireema nawathwanna eya awasan,exact_duplicate
25918,oya kawuda kiyala kee parak magen ehuwada kee parak,exact_duplicate
25919,oya magen kee parak ehuwada mata kee parak kiyanawada magula kiyala,exact_duplicate
25920,mata kiyanna oya dannawada mama kawuda kiyala,exact_duplicate
25957,ohu sampurna wyakulathwaya dawalayi,exact_duplicate
25960,eya ohuge dhairyaya pitathata gala yayi ewa pasupasata thallu karayi,exact_duplicate
25961,owun pasupasata thallu karanna mata udaw karanna,exact_duplicate
26198,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
26218,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
27026,oba ma gena [Unkown] eththenma mama eya karami,exact_duplicate
27093,ude hatharayi thihata parakku nehe,exact_duplicate
27455,[Unkown] [Unkown],marker_only
28338,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
28410,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
28907,oya koheda yanne mama danne nehe,exact_duplicate
28955,eththa washayenma pilithurak nomethi akaraye getaluwak ehi theruma kumakdeyi mama nodanimi,exact_duplicate
28956,eththatama pilithurak nomethi akaraye ehi theruma kumakdeyi mama thawamath nodanimi,exact_duplicate
29327,oya monawada kiyanne mama kiwwa oya mduyi kiyala,exact_duplicate
29442,samawenna,exact_duplicate
29628,mama oyata adareyi mama oyata adareyi,exact_duplicate
30102,mama hithanne nehe oya hithanne api oyage gedaradee munagesuna kiyala oyata mathaka nedda koheda kiyala,exact_duplicate
31024,eka thamayi eka,exact_duplicate
31055,obata avashya kumakda [Unkown],exact_duplicate
31258,apata thuwakku awashyayi apata thuwakku awashya nehe,exact_duplicate
31492,mata [Unkown] kireemata awashya namuth mata amaruma ha shreshta de kala noheka,exact_duplicate
31804,oya mokada methana karanne mama oyawa balanna awa,exact_duplicate
32454,[Unkown] [Unkown],marker_only
32467,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
32468,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
32473,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
32941,wedasatahane nama newatha nengiteema,exact_duplicate
32978,[Unkown] [Unkown],marker_only
32982,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
33027,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
33256,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
33558,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
33995,kohomada karanne kohomada karanne kiyala,exact_duplicate
34148,oba eya uthsaha karanna sar,exact_duplicate
34296,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
35018,"""Patta",exact_duplicate
35076,"""Patta",exact_duplicate
35122,"""Harima lassanai",exact_duplicate
35197,"""Supiri",exact_duplicate
35211,"""Harima lassanai",exact_duplicate
35277,"""Supiri",exact_duplicate
35434,"""Harima lassanai",exact_duplicate
40526,,null_empty
