sample_id,text,source_row,review_status,review_reason,reviewer_1_label,reviewer_2_label,final_label,annotation_status
SI23047,desheeya kuthuhalaya gena unanduwak netha namuth mama guptha widyawa gena unandu wana athara meya [Unkown] ekak,23048,needs_review,partial_unknown_marker,,,,pending
SI26802,thadin gelapena hondama wargaya,26803,pending,,,,,pending
SI35693,umbala mole kalpana nathi ne.,35694,needs_review,uncertain_provenance,,,,pending
SI18401,oba mage begaya wathaye dee suwapath wanawata amatharawa onewata wada gilwa eliyata demiya noheki wana paridi welum patiyak demiya yuthuya,18402,pending,,,,,pending
SI33686,nawathwanna epa mata thawa thiyenawa oya mata kiyanna,33687,pending,,,,,pending
SI35132,"""pattaaa",35133,needs_review,single_word;leading_quote,,,,pending
SI32590,nehe eya boho wita kisiwak sidu nowanu etha mama ohuta hondin katha karannemi mata pramada weemata awashya netha,32591,pending,,,,,pending
SI00229,harine,230,needs_review,single_word,,,,pending
SI35127,"""3:53 atha allanna neda giye kelum horennma nodenenna ??",35128,needs_review,leading_quote;timestamp_like,,,,pending
SI09504,upaharaya yanu kisiwak nowe otunna wedagath wanne otunna skotlanthaye ya saha skotlanthaya wiliyam wolas ya,9505,pending,,,,,pending
SI01689,oya kawuda mama kellawa genawe mathakada,1690,pending,,,,,pending
SI39678,"oya ge reply eka, meka nam wal buruwa level ekak. kata wahagena inna.",39679,needs_review,uncertain_provenance,,,,pending
SI03816,obe wayasa keeyada eya eththenma niweradi prashnayak nowe,3817,pending,,,,,pending
SI08051,eka hari mata oya wage kenek mage jeewitheta munagehila ne,8052,pending,,,,,pending
SI34979,"""Uba kramaya hari ban pirimiyak  na",34980,needs_review,leading_quote,,,,pending
SI38650,oya wage kenek mehema karanne wada nodanna nisa da? tikak igena ganin.,38651,needs_review,uncertain_provenance,,,,pending
SI35491,"""Woww kiyanna wachana na godak lassani ewagema godak asai me vedio ekta....????????",35492,needs_review,leading_quote,,,,pending
SI04225,mata bayayi ithin helan oya kawadahari benkuwak ekka tharanga karanna heduwada,4226,pending,,,,,pending
SI27363,tharangayen pasu eya miya ya hekiya eya den miya ya hekiya,27364,pending,,,,,pending
SI00737,obata mawa pitathata gena yamata gewanu lebuwe mama sebawinma waira karana ek pudgalayeku wisini eya sakas kireemak bawa mama dena sitiyemi eya ese nowe,738,pending,,,,,pending
SI33365,heyi oya mata ekata katha karanna yanne nedda samuganna kisima deyakata sthuthiyi,33366,pending,,,,,pending
SI26293,e [Unkown] ayiwo [Unkown] see mon meda upagranthaya balanna,26294,needs_review,partial_unknown_marker,,,,pending
SI09655,mekata wada amuthuyi kelel salakunu karanawa mama danne nehe kisima deyak wenna puluwan kiyala,9656,pending,,,,,pending
SI04000,hari oya dekka mama den yanawa dewid mata samawenna mama eeye obawa kalabala kala namuth siduwanne kumakda yanna oba therum gatha yuthuyi,4001,pending,,,,,pending
SI34708,itha naraka plag ohuta erehiwa,34709,pending,,,,,pending
SI19914,ma samanga manasikawa wetenna epa e gena manasika kisiwak obata pahasu netha,19915,pending,,,,,pending
SI21780,oh baya wenna epa mama kiyapu deta eya amanapa wune nehe me welawe oyala dennata hari bil eka sehellu karanna one me welawe mama selakilimath wenne mama badaginne inna kema gena saha mata mara hisaradayak thiyenawa,21781,pending,,,,,pending
SI25092,obata eya wehesata path nowe mama eththa washayenma sitimi,25093,pending,,,,,pending
SI35033,"""Umali Thilakarathne ",35034,needs_review,leading_quote,,,,pending
SI23013,oya monawada thaththe mawa alokamath kale kiyala,23014,pending,,,,,pending
SI29308,oba saha wilkins stheera lesa yamata selasum karamin sitina oba saha wilkins nisekayenma chamathkara wana bawa ho ohu katha kireemata kemathi hudakala mahalu miniseki,29309,pending,,,,,pending
SI35198,"""Sooo cute mamaa hrima asai oyataaa....",35199,needs_review,leading_quote,,,,pending
SI35172,"""kolla patta lassanata kiyanawa sinduwa",35173,needs_review,leading_quote,,,,pending
SI24670,oba mata kuda gaurawayak laba diya hekiya,24671,pending,,,,,pending
SI18431,obata panayak awashya yeyi mama nosithami ebewin obath ese nokala yuthu ya,18432,pending,,,,,pending
SI25729,mokakda e keti wela thiyenne,25730,pending,,,,,pending
SI27208,karunakara kreedawa awasan wana thek rendee sitinna,27209,pending,,,,,pending
SI08928,apa sathuwa dolar dahasayak ethi athara eya niweradi nowe,8929,pending,,,,,pending
SI20287,oba udumahalata yanne netha,20288,pending,,,,,pending
SI36031,umbala chater machan.,36032,needs_review,uncertain_provenance,,,,pending
SI11231,eken adahas wenne mama eththatama bahira wishwaya mona wageda kiyala hariyatama danne nehe,11232,pending,,,,,pending
SI32938,sammatha nuthana ihala mattame sammathaya,32939,pending,,,,,pending
SI08652,ithin kohomada yaluwane oba rusiyanu bhashawa chathura lesa katha karanne api pasaledee awadhanaya yomu kalemu,8653,pending,,,,,pending
SI03730,samawanna,3731,needs_review,single_word,,,,pending
SI08802,mama [Unkown] mama wihilu minisa hee hee mama harima wihilu hee hee fk yu [Unkown],8803,needs_review,partial_unknown_marker,,,,pending
SI35031,"""A unata oyage marriage eka kelaunane",35032,needs_review,leading_quote,,,,pending
SI08223,hondayi mama heta karyabahula wannemi kese wethath mata kadadasi thuwa haya dahasak miladee gatha yuthuya,8224,pending,,,,,pending
SI19286,mahaththayo meka randuwak karanna harida mechchara kal lassanayi mama e kabaya kawadawath dekala ne,19287,pending,,,,,pending
SI35233,"""Sir babek labila masa 2k giyama yoga kalata kamak nadda?",35234,needs_review,leading_quote,,,,pending
SI19839,obe mara kan nasaya hiskabala paudgalika sihiwatana,19840,pending,,,,,pending
SI38610,oya kata witharai wada ban.,38611,needs_review,uncertain_provenance,,,,pending
SI10946,saha obe kanthawata eyata kalin pitawa yamata sidu wu athara eya obata sthuthi karana lesa magen illa sitiyaya,10947,pending,,,,,pending
SI29696,laba gatha heki weredda kumakda karunakara netha,29697,pending,,,,,pending
SI37882,"Hariyata baluwoth oya ge wada moda wage ne, oya wage aya nisa thamai mehema wenne.",37883,needs_review,uncertain_provenance,,,,pending
SI20533,oba thawamath ekata hondin sitina bawa mata wishwasayi,20534,pending,,,,,pending
SI08148,oh eetath wada naraka namuth ema meksikanu peneema bonchi dip tharam naraka netha ow ow hari mata rost eka dee obe piyawara balanna mama newatha guwan widuliyata ennam,8149,pending,,,,,pending
SI27128,ohu katha karanne thaman gena nowe ewita ohu katha karanne kumak da [Unkown],27129,needs_review,partial_unknown_marker,,,,pending
SI35492,"""Woww eka nm maru ????????????",35493,needs_review,leading_quote,,,,pending
SI23807,hayi petiyo hayi thaththe,23808,pending,,,,,pending
SI04654,ow petiyo oyage [Unkown] [Unkown],4655,needs_review,partial_unknown_marker,,,,pending
SI30039,honda pothak hah hah ow eka thamayi,30040,pending,,,,,pending
SI35437,"""Awww akkiyo",35438,needs_review,leading_quote,,,,pending
SI00208,Niyamai 🇱🇰,209,needs_review,single_word,,,,pending
SI17455,mata yanna denna oya mata kiyanna ona eya kiyapu de,17456,pending,,,,,pending
SI24525,oba mage piyata oba bawa danwanne nethi bawa hari,24526,pending,,,,,pending
SI22781,eya mandagamee wana bawa oba hondin danne keseda [Unkown],22782,needs_review,partial_unknown_marker,,,,pending
SI18107,[Unkown] wiski oba wenuwen [Unkown] mahatha mata karunakara mihiri ha sisil deyak,18108,needs_review,partial_unknown_marker,,,,pending
SI30600,ow oya thamayi oya tep heduwe,30601,pending,,,,,pending
SI34971,"""Ekenma ..??",34972,needs_review,single_word;leading_quote,,,,pending
SI14561,eeyam anka hathara saha dolaha kelinma snayu paddhathiyata newatha winyasa karanna,14562,pending,,,,,pending
SI29956,me wikatayan samanga tika welawak pitathata gos obata yahapathak karanna,29957,pending,,,,,pending
SI14879,babar mage meelanga newathuma wuye sar ikmaninma eya niyamanaya karanu eth nam pamanak e gena karadara nowanna eya obe karapatiyen iwath wee obe eswalin eliyata enne nam ma asannata yanne epamanayi,14880,pending,,,,,pending
SI18183,eweni sancharayak sandaha obe wetupa kumakdeyi oba sithanne kumakdeyi mata hondin wetahe,18184,pending,,,,,pending
SI10935,mama ema papandu kathawe weda karamin sitimi mama newatha habeeb wetha ya yuthuya,10936,pending,,,,,pending
SI14867,luthinan kawuda mage nama kiyanna epa,14868,pending,,,,,pending
SI35140,"""lassanak",35141,needs_review,single_word;leading_quote,,,,pending
SI27800,meka [Unkown] oyata mukuth wenne ne oyata sawari deshakayek one,27801,needs_review,partial_unknown_marker,,,,pending
SI35168,"""Maru",35169,needs_review,single_word;leading_quote,,,,pending
SI35036,"""umali akke oya gena adare hithenawa",35037,needs_review,leading_quote,,,,pending
SI16437,ithin mama ennada eththa washayenma mama mithuran kihipa deneku samanga pitathata yamata sudanamwa sitimi,16438,pending,,,,,pending
SI00235,maru,236,needs_review,single_word,,,,pending
SI35334,"""Meka man me keeweni paaratada balanne,supiriy hode",35335,needs_review,leading_quote,,,,pending
SI32835,mata puthek innawa kiyala eya kiwwa eyata sihinayakin puthek innawa kiwwa eya warak jeewithaya kiyala,32836,pending,,,,,pending
SI24094,mama golf kreeda kireemata yamin sitiyemi obata asiyanu pemwathiyan prathikshepa kireema eejipthuwe gangawak nowe,24095,pending,,,,,pending
SI18727,rileks jon owun nikamma kuda daruwan wuwaya oba yana yana hemathenama me rata winasha karanne eyamaya,18728,pending,,,,,pending
SI00100,kalakanniya,101,needs_review,single_word,,,,pending
SI19091,hari hari mama bhayanakayi den jathika arakshaka kawunsilaya thushnimbhutha weyi,19092,pending,,,,,pending
SI03770,ow sar eya koheda inne pura handak,3771,pending,,,,,pending
SI30023,oyage gedara oyata mathaka nedda ne ne mata oyata wishwasa ne,30024,pending,,,,,pending
SI00190,Great..,191,needs_review,single_word,,,,pending
SI21399,obe illa asweema den obe illa asweema den mata avashya wu [Unkown] lesa owunta kiwa hekiya [Unkown],21400,needs_review,partial_unknown_marker,,,,pending
SI15834,harima lassanayi ow mama eyata kemathiyi mama ihalayi oba danna sema deyakma mata penenawa eya kuda wen rathaye kedilek,15835,pending,,,,,pending
SI32596,[Unkown] mahatha mata ehi nathara wiya yuthuyi oba frenk [Unkown] dannawada oba adahas kale pare bekariya ayithi frenk,32597,needs_review,partial_unknown_marker,,,,pending
SI04867,hanganna ow oya dannawane inna,4868,pending,,,,,pending
SI17849,e gena kumak deyi mama nodanimi mata eya weemata awashyayi,17850,pending,,,,,pending
SI21290,e kiyanne arl wiliyams heta ude merila apiwa ura bona kenek karanawa oyata pissuda koheda mek,21291,pending,,,,,pending
SI19272,eya eeye peminiye mama eya thawamath wiwtha kara netha samahara wita eya den awasan weemata niyamithayi samahara wita dewiyanta eya wenath akarayakin nothibenu etha,19273,pending,,,,,pending
SI11551,mama nidaganne ne eyage chek eka ganna kiyala [Unkown] [Unkown] chek eka ganna beri nisa,11552,needs_review,partial_unknown_marker,,,,pending
SI03594,e wage minihekuta ape wedawalata balaya thiyena eka sadharana nehe namuth ohu kerehi balaya thiyena aya innawa mama hithanne mama meka adhirajyaya samanga geniyanawa,3595,pending,,,,,pending
SI35152,"""Wow dennama lassani ",35153,needs_review,leading_quote,,,,pending
SI17684,hondayi mama hithanne nehe apata ekinekata kiyannata boho de ethi bawa api kisiwitakath karanne methenata pemina endum galawa ekata endata peneema pamanayi,17685,pending,,,,,pending
SI10499,oyata mawa wishwasa karanna puluwanda e jek e jek neweyida eka [Unkown] eka [Unkown] ne eka mada neweyi mada mada witharayi,10500,needs_review,partial_unknown_marker,,,,pending
SI10085,ohu ketharam daksha wuwath ohuta thawamath pitaweeme weesa awashya we nethahoth mama dekak kiwa yuththe eyi dekak,10086,pending,,,,,pending
SI14828,owun wen rathaya soyanu etha oba magulak men kriya nokarana thak kal api hondin sitimu,14829,pending,,,,,pending
SI35467,"""Niymei ????????????",35468,needs_review,single_word;leading_quote,,,,pending
SI29613,welari oya merila,29614,pending,,,,,pending
SI24633,oba baya nam eya oben kusaginna biya ganwayi oba biyata wada badagini nam nowe,24634,pending,,,,,pending
SI24436,oh ow mata ehuna ow pudgalikawa mama hithanne eka moda wedak,24437,pending,,,,,pending
SI35401,"""Akki oya lassanata dance karana wa akki. Asai. Budu saranai akki oyata?",35402,needs_review,leading_quote,,,,pending
SI12487,eya mata sitheemata pelambawu karadaraya arambha karanne sema witama kanthawan ya,12488,pending,,,,,pending
SI00225,G.T.A ගේම් එකහ වගේ නිකම්😂,226,needs_review,non_latin_script,,,,pending
SI37354,"Hariyata baluwoth oya ge kathawa pissu wage wage ne, meka nam athi.",37355,needs_review,uncertain_provenance,,,,pending
SI17470,mata therenne nehe obata nishchitha selesmak ethi thek oba kohewath yamata mata awashya netha,17471,pending,,,,,pending
SI34761,pissu hedenawa namuth mata eya denenne nehe,34762,pending,,,,,pending
SI32746,eya kumak wedeyi mata obata sahathika wiya noheka namuth mama mage jeewithaya gena diwuranawa mama obata rekiyawak soya dennemi saha eyi oba ma wenuwen eya karanne,32747,pending,,,,,pending
SI03216,onema welawaka obata [Unkown],3217,needs_review,partial_unknown_marker,,,,pending
SI12294,suba udesanak jon suba udesanak,12295,pending,,,,,pending
SI04998,oya lassanayi ow mata samuganna haduwak denna,4999,pending,,,,,pending
SI38915,oya ge idea eka nam weda bari ne hariyata.,38916,needs_review,uncertain_provenance,,,,pending
SI35221,"""Akki oyage danceing covers lassanai",35222,needs_review,leading_quote,,,,pending
SI32996,menna oba siyalu denatama pramanawath thalluwak netha,32997,pending,,,,,pending
SI09425,api eyawa maranna kalin oya eya langata awa,9426,pending,,,,,pending
SI35026,"""lankawa bihi kala thawath legend ekak umariya",35027,needs_review,leading_quote,,,,pending
SI38825,"Ane manda oya ge wada, wadak nathi wage behave wenne ai? lajja nadda.",38826,needs_review,uncertain_provenance,,,,pending
SI30467,eya peminenne kothenatada ohu pentaganayata goda besseya,30468,pending,,,,,pending
SI38174,oya ge idea eka mehema karanne loku talk karana moda nisa da? ne.,38175,needs_review,uncertain_provenance,,,,pending
SI10642,me thena gedara wage wenna epa eka gedarata wada lassanayi,10643,pending,,,,,pending
SI34978,"""Una nowana Uba thamai. Kalakanniya.",34979,needs_review,leading_quote,,,,pending
SI35045,"""Niyamai,lassanai,""",35046,needs_review,leading_quote,,,,pending
SI00082,Hi,83,needs_review,single_word,,,,pending
SI34657,api selasum kala akarayatama siyalla siduwemin pawathee oba thawamath apage wiwaha giwisa geneema prakasha kara netha,34658,pending,,,,,pending
SI36030,oya ge wada nam pissu wage ne machan.,36031,needs_review,uncertain_provenance,,,,pending
SI08084,ayubowan edam ayubowan,8085,pending,,,,,pending
SI40388,oya ge post eka ta kiyanna one gon harakek wage wada nawaththanna kiyala.,40389,needs_review,uncertain_provenance,,,,pending
SI03387,eya obe semiyata awashya nam ada rathriye enna wiyana soyana post ekak namuth mama wiwahaka kanthawak,3388,pending,,,,,pending
SI32067,eka thamayi duka hithena kathawak,32068,pending,,,,,pending
SI33018,meya samanya deyak noweda api awasanaye yamekuta honda hereemak kara methen sita siduwanne kumakdeyi balamu eya wyathirekayak nowe,33019,pending,,,,,pending
SI20522,obata awashya nam apata wenath panayak sandaha hamuwiya heka ewita mata eya wadath hondin pehedili kala hekiya mama obata etharam nayagethiyi balanna mata yannata siduwanu etha obath dannawa,20523,pending,,,,,pending
SI30009,mama athpothak aran eka padam karannam,30010,pending,,,,,pending
SI17981,yanna oba wenuwen an siyalla amathaka kala adaraya kala heki minisek oba kawuda [Unkown],17982,needs_review,partial_unknown_marker,,,,pending
SI13915,oba owunwa dena handuna ganna wita owun eththenma honda minisun ya,13916,pending,,,,,pending
SI22844,saha meeta pera boho loka,22845,pending,,,,,pending
SI02532,mama kalpana kale oba dewarak wiwaha wee ethi bawayi,2533,pending,,,,,pending
SI37575,me comment eka danapu eka mehema karanne weda bari nisa da? me wage wada nawaththapan.,37576,needs_review,uncertain_provenance,,,,pending
SI05911,mama oyata kiwwa mage langin inna kiyala mama eka karanawa mama ethana hitiya magulak karanawa oya danne nehe machan mama monawada kale kiyala oya danne nehe,5912,pending,,,,,pending
SI33619,ow andukarawarayata badha kireema gena mata samawenna namuth ema plastar onema dewana putheku dedi karayi,33620,pending,,,,,pending
SI27409,awadharanaya sandaha hariyatama eya yathurayi,27410,pending,,,,,pending
SI31667,jonsan edee ayiyage ayiyala api balamu e [Unkown] eka,31668,needs_review,partial_unknown_marker,,,,pending
SI24769,yanna,24770,needs_review,single_word,,,,pending
SI10030,api sathutin wyaparaya karagena yamuda oba wadi nowanna,10031,pending,,,,,pending
SI35392,"""harima lassanai",35393,needs_review,leading_quote,,,,pending
SI32825,ow owun namuth enna,32826,pending,,,,,pending
SI21333,wiliyams alla geneema sandaha aparadha komisama dolar dasadahasaka thyagayak pirinemeemata ohuta eya lebune kohendeyi kisiweku danne netheyi mama obata kiyami,21334,pending,,,,,pending
SI07112,eya obage wyaparaye kisindu deyak honda nethath eya balaporoththu sun karawana sulu wiya yuthuya,7113,pending,,,,,pending
SI09235,[Unkown] [Unkown] [Unkown] [Unkown] api yamu,9236,needs_review,partial_unknown_marker,,,,pending
SI34974,"""Ammo  pissu wattanawa rini oyaa vois eka ammo",34975,needs_review,leading_quote,,,,pending
SI32073,[Unkown] katha karanne oya dannawada oya monawada katha karanne kiyala mama danne nehe ekayi mama oyagen ahanne,32074,needs_review,partial_unknown_marker,,,,pending
SI20623,oya ekata kemathi nedda ne ne mama ekata adareyi oya hithagena inne oya hondatama asaneepa wela inna ethi kiyala,20624,pending,,,,,pending
SI33487,ow mage hondama mithuran samaharak mama eya sithana sema awasthawakama wihilu karathi,33488,pending,,,,,pending
SI39547,"oya wage kenek, uba nam wal buruwa hariyata wada karapan.",39548,needs_review,uncertain_provenance,,,,pending
SI09315,samawenna,9316,needs_review,single_word,,,,pending
SI28569,[Unkown] le bindu kihipayak sandaha rajuge kappam mudalak gewanu etha boho denek mata eya awashya netha,28570,needs_review,partial_unknown_marker,,,,pending
SI06143,hari [Unkown] oyata den loku thihak nayayi oya mokada karanne mata eelaga tharagayedee degunayak ho kisiwak yanna awashyayi,6144,needs_review,partial_unknown_marker,,,,pending
SI15640,apoyi me miniha us godanegili walin wayu beg walata paninna purudu wela hitiya oya karana wedeta yatin kottayak ne mama eken pusa mama iwarayi,15641,pending,,,,,pending
SI07351,dewiyan wahanse mawa dekeemata avashya deyi danne don [Unkown] ohu ma danne deyi ohu danne ohu thattu karanne nam oba doratuwata pilithuru dena sthanayeni,7352,needs_review,partial_unknown_marker,,,,pending
SI14915,ohu hurupurudu bawa oba dannawa,14916,pending,,,,,pending
SI29342,hu,29343,needs_review,single_word,,,,pending
SI26604,hari hari me wage oya kawadawath netumakata gihin nehe,26605,pending,,,,,pending
SI35229,"""Thanks........oba thumata",35230,needs_review,leading_quote,,,,pending
SI35130,"""Supiri",35131,needs_review,single_word;leading_quote,,,,pending
SI35512,"""Meka balala ape unge wadema gihin ara sinduwa ahana eka ????",35513,needs_review,leading_quote,,,,pending
SI18767,mokakda awula [Unkown] ta mokada une mama oyawa ehedi hambawennam,18768,needs_review,partial_unknown_marker,,,,pending
SI35050,"""Lankawe Inna hodama niliya",35051,needs_review,leading_quote,,,,pending
SI31179,wiweka ganna obata eka panahak lebuna obata ehuna rikee miniha dannawa api kopamana kalayak mehi sitiya yuthuda yanna api eya awasan kala yuthuyi,31180,pending,,,,,pending
SI00205,Lankawa,206,needs_review,single_word,,,,pending
SI16685,eya josh samanga rahas sambandhayak pawathwanne kumakda mata awashya yeyi mama nodanimi,16686,pending,,,,,pending
SI35418,"""Mara",35419,needs_review,single_word;leading_quote,,,,pending
SI18484,wishala wiyadam karanna oba kisiwak deka netha,18485,pending,,,,,pending
SI24513,e siyallatama wagakiwa yuththe owun hasyajanaka wanne mandeyi eya wartha kireemata mata awashya netha,24514,pending,,,,,pending
SI32423,oya dannawane mama eeye re pissu heenayak dekka e oya gena kiyala,32424,pending,,,,,pending
SI05950,mama den linkan udyanaye jeewath wanne sancharaya kireemata pamanak nowe ow oba monawada kale,5951,pending,,,,,pending
SI34990,"""Lassie godk",34991,needs_review,leading_quote,,,,pending
SI15185,pesifik sagaraye nyashtika athhada beleema gena oba katha kireema ow mage rata wisin sidu karana lada mema pareekshanaya bhayanaka awul jalayak ethi kaleya api eya pirisidu kireemata mehi sitimu,15186,pending,,,,,pending
SI35023,"""nagai asama gaekava patta voice",35024,needs_review,leading_quote,,,,pending
SI09505,ohu enne nehe mama dannawa ohu ena bawa,9506,pending,,,,,pending
SI40370,"mehema wada karana eka, uba nam gon boruwata katha karanne.",40371,needs_review,uncertain_provenance,,,,pending
SI17479,mama danne nehe mokada wenne kiyala mama danne nehe oya kiyanne oya awul wela kiyala,17480,pending,,,,,pending
SI23880,hondayi oba karana thuru mata obata pewasiya hekke oba denatamath danna de owun sammuka pareekshanayak wikashanaya nokaranu ethi bawayi,23881,pending,,,,,pending
SI16923,oba owun kawudeyi yamak kala yuthuyi,16924,pending,,,,,pending
SI26633,eya selawena bawak penenne nedda eya hariyata hayi [Unkown] kiyanawa oba mage amma wenawada ow ow eya ese karanawa wage,26634,needs_review,partial_unknown_marker,,,,pending
SI34534,ohu pawum deseeyak ellanawa dekeema sandaha mama pawum siyayak gewannemi,34535,pending,,,,,pending
SI19581,mama danne nehe machan oya kenekwa hoyanawa nam samahara wita oyata polis karayo balanna wenawa eth mama,19582,pending,,,,,pending
SI30463,oya hithanne eka thamayi wenne kiyala mama hithanne eka thamayi wenne kiyala,30464,pending,,,,,pending
SI34956,"""Fatta",34957,needs_review,single_word;leading_quote,,,,pending
SI35241,"""NIYAMAI",35242,needs_review,single_word;leading_quote,,,,pending
SI11958,apiwa mankolla kewa hari eyage pars eka ganna,11959,pending,,,,,pending
SI35162,"""Patta......??",35163,needs_review,single_word;leading_quote,,,,pending
SI25592,hah hah mama barapathalayi oba onewata wada dum panaya karana jarawa obe abhilashaya sorakam karanne obe abhilashaya usas wee rupawahiniya nerambeema nam nowe,25593,pending,,,,,pending
SI34346,mata oya ekka katha karanna ona doktar mata enna puluwanda,34347,pending,,,,,pending
SI19657,oba dakinne kumakda mama dakinne sundarathwaye saha adaraye sadakalika dewathawiyayi mama dakinne efrodayit sampurna kanthawa,19658,pending,,,,,pending
SI26614,dewiyane oba etharam tharuna nowe eththatama mata wayasa awurudu dahasayak nowe minisun kriya karanne kawadadeyi kiyannata tharam mata wayasayi,26615,pending,,,,,pending
SI26815,ethemun sithanne ohu newatha kisi dineka nomara newatha samajayata athurudahan wu nisa yeyi obata e gena etharam wishwasayak netha,26816,pending,,,,,pending
SI35410,"""Shok akkiyo parissamata digtma krgana yanda mama oyata godak adare akkiyo ????",35411,needs_review,leading_quote,,,,pending
