id,SINGLISH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,avatar_url,original_text,text,original_label,label,clean_text,text_length,word_count,language_type,suspicious_subtitle,removal_reason,normalized_for_dedup,duplicate_flag,label_conflict,manual_review
531,e sthriya sampurna palathuru [Unkown] nethinam mama pamanakda e oba pamanakda [Unkown],,,,,,,,,,,e sthriya sampurna palathuru [Unkown] nethinam mama pamanakda e oba pamanakda [Unkown],e sthriya sampurna palathuru [Unkown] nethinam mama pamanakda e oba pamanakda [Unkown],,,e sthriya sampurna palathuru [unkown] nethinam mama pamanakda e oba pamanakda [unkown],86,12,Singlish,True,,e sthriya sampurna palathuru [unkown] nethinam mama pamanakda e oba pamanakda [unkown],False,False,True
548,[Unkown] gehenu lamayin ek usethi wineetha shareerayak aneka tharamak miti saha adu [Unkown] yukthaya,,,,,,,,,,,[Unkown] gehenu lamayin ek usethi wineetha shareerayak aneka tharamak miti saha adu [Unkown] yukthaya,[Unkown] gehenu lamayin ek usethi wineetha shareerayak aneka tharamak miti saha adu [Unkown] yukthaya,,,[unkown] gehenu lamayin ek usethi wineetha shareerayak aneka tharamak miti saha adu [unkown] yukthaya,101,14,Singlish,True,,[unkown] gehenu lamayin ek usethi wineetha shareerayak aneka tharamak miti saha adu [unkown] yukthaya,False,False,True
553,ithin oba uthure sita kumana [Unkown] eththatama obata kohomada,,,,,,,,,,,ithin oba uthure sita kumana [Unkown] eththatama obata kohomada,ithin oba uthure sita kumana [Unkown] eththatama obata kohomada,,,ithin oba uthure sita kumana [unkown] eththatama obata kohomada,63,9,Singlish,True,,ithin oba uthure sita kumana [unkown] eththatama obata kohomada,False,False,True
555,ow yuwalak api gawayinta wada wediyi namuth obe perani pasale kee denek sitiyada [Unkown],,,,,,,,,,,ow yuwalak api gawayinta wada wediyi namuth obe perani pasale kee denek sitiyada [Unkown],ow yuwalak api gawayinta wada wediyi namuth obe perani pasale kee denek sitiyada [Unkown],,,ow yuwalak api gawayinta wada wediyi namuth obe perani pasale kee denek sitiyada [unkown],89,14,Singlish,True,,ow yuwalak api gawayinta wada wediyi namuth obe perani pasale kee denek sitiyada [unkown],False,False,True
556,obe perani pasale this deke kee denek sitiyada [Unkown],,,,,,,,,,,obe perani pasale this deke kee denek sitiyada [Unkown],obe perani pasale this deke kee denek sitiyada [Unkown],,,obe perani pasale this deke kee denek sitiyada [unkown],55,9,Singlish,True,,obe perani pasale this deke kee denek sitiyada [unkown],False,False,True
560,mata puruduyi ow namuth me gollo kawadawath ashwayek dekala nehe owun [Unkown] eestwud wetha yanawa,,,,,,,,,,,mata puruduyi ow namuth me gollo kawadawath ashwayek dekala nehe owun [Unkown] eestwud wetha yanawa,mata puruduyi ow namuth me gollo kawadawath ashwayek dekala nehe owun [Unkown] eestwud wetha yanawa,,,mata puruduyi ow namuth me gollo kawadawath ashwayek dekala nehe owun [unkown] eestwud wetha yanawa,99,15,Singlish,True,,mata puruduyi ow namuth me gollo kawadawath ashwayek dekala nehe owun [unkown] eestwud wetha yanawa,False,False,True
562,oba pulussa damayi eya kawuda [Unkown],,,,,,,,,,,oba pulussa damayi eya kawuda [Unkown],oba pulussa damayi eya kawuda [Unkown],,,oba pulussa damayi eya kawuda [unkown],38,6,Singlish,True,,oba pulussa damayi eya kawuda [unkown],False,False,True
563,[Unkown] [Unkown] [Unkown] e eyi kiyala hithannawath epa,,,,,,,,,,,[Unkown] [Unkown] [Unkown] e eyi kiyala hithannawath epa,[Unkown] [Unkown] [Unkown] e eyi kiyala hithannawath epa,,,[unkown] [unkown] [unkown] e eyi kiyala hithannawath epa,56,8,Singlish,True,,[unkown] [unkown] [unkown] e eyi kiyala hithannawath epa,False,False,True
564,eya kawuda [Unkown] [Unkown] [Unkown] e gena hithannawath epa,,,,,,,,,,,eya kawuda [Unkown] [Unkown] [Unkown] e gena hithannawath epa,eya kawuda [Unkown] [Unkown] [Unkown] e gena hithannawath epa,,,eya kawuda [unkown] [unkown] [unkown] e gena hithannawath epa,61,9,Singlish,True,,eya kawuda [unkown] [unkown] [unkown] e gena hithannawath epa,False,False,True
566,mage amma [Unkown] kenek sandaha liyapadinchi wu [Unkown] bawa sahathikayi,,,,,,,,,,,mage amma [Unkown] kenek sandaha liyapadinchi wu [Unkown] bawa sahathikayi,mage amma [Unkown] kenek sandaha liyapadinchi wu [Unkown] bawa sahathikayi,,,mage amma [unkown] kenek sandaha liyapadinchi wu [unkown] bawa sahathikayi,74,10,Singlish,True,,mage amma [unkown] kenek sandaha liyapadinchi wu [unkown] bawa sahathikayi,False,False,True
569,ow ege [Unkown] sahodariya wana [Unkown] samanga sulu hamuweemak pamani,,,,,,,,,,,ow ege [Unkown] sahodariya wana [Unkown] samanga sulu hamuweemak pamani,ow ege [Unkown] sahodariya wana [Unkown] samanga sulu hamuweemak pamani,,,ow ege [unkown] sahodariya wana [unkown] samanga sulu hamuweemak pamani,71,10,Singlish,True,,ow ege [unkown] sahodariya wana [unkown] samanga sulu hamuweemak pamani,False,False,True
571,e ege [Unkown] sohoyuriya wana [Unkown] [Unkown] kalakanni eyayi,,,,,,,,,,,e ege [Unkown] sohoyuriya wana [Unkown] [Unkown] kalakanni eyayi,e ege [Unkown] sohoyuriya wana [Unkown] [Unkown] kalakanni eyayi,,,e ege [unkown] sohoyuriya wana [unkown] [unkown] kalakanni eyayi,64,9,Singlish,True,,e ege [unkown] sohoyuriya wana [unkown] [unkown] kalakanni eyayi,False,False,True
572,oba ohu samanga pitathata yamata kemathi ohu gena kumak kiwa hekida [Unkown],,,,,,,,,,,oba ohu samanga pitathata yamata kemathi ohu gena kumak kiwa hekida [Unkown],oba ohu samanga pitathata yamata kemathi ohu gena kumak kiwa hekida [Unkown],,,oba ohu samanga pitathata yamata kemathi ohu gena kumak kiwa hekida [unkown],76,12,Singlish,True,,oba ohu samanga pitathata yamata kemathi ohu gena kumak kiwa hekida [unkown],False,False,True
575,ehema unoth api eka iskole pulul paharak bawata path karanna one [Unkown] nemenawa,,,,,,,,,,,ehema unoth api eka iskole pulul paharak bawata path karanna one [Unkown] nemenawa,ehema unoth api eka iskole pulul paharak bawata path karanna one [Unkown] nemenawa,,,ehema unoth api eka iskole pulul paharak bawata path karanna one [unkown] nemenawa,82,13,Singlish,True,,ehema unoth api eka iskole pulul paharak bawata path karanna one [unkown] nemenawa,False,False,True
578,[Unkown] [Unkown] oya wihilu karanawada ohu preethiyen thamatama kenthi ganeewi ohu thamayi awasana hadu buruwa,,,,,,,,,,,[Unkown] [Unkown] oya wihilu karanawada ohu preethiyen thamatama kenthi ganeewi ohu thamayi awasana hadu buruwa,[Unkown] [Unkown] oya wihilu karanawada ohu preethiyen thamatama kenthi ganeewi ohu thamayi awasana hadu buruwa,,,[unkown] [unkown] oya wihilu karanawada ohu preethiyen thamatama kenthi ganeewi ohu thamayi awasana hadu buruwa,111,15,Singlish,True,,[unkown] [unkown] oya wihilu karanawada ohu preethiyen thamatama kenthi ganeewi ohu thamayi awasana hadu buruwa,False,False,True
579,meya [Unkown] [Unkown] sadayen illa sitiya heki swarnamaya awasthawak meyayi,,,,,,,,,,,meya [Unkown] [Unkown] sadayen illa sitiya heki swarnamaya awasthawak meyayi,meya [Unkown] [Unkown] sadayen illa sitiya heki swarnamaya awasthawak meyayi,,,meya [unkown] [unkown] sadayen illa sitiya heki swarnamaya awasthawak meyayi,76,10,Singlish,True,,meya [unkown] [unkown] sadayen illa sitiya heki swarnamaya awasthawak meyayi,False,False,True
586,[Unkown] [Unkown] namuth heyi oba diyunu wemin pawathee mama ese nowe,,,,,,,,,,,[Unkown] [Unkown] namuth heyi oba diyunu wemin pawathee mama ese nowe,[Unkown] [Unkown] namuth heyi oba diyunu wemin pawathee mama ese nowe,,,[unkown] [unkown] namuth heyi oba diyunu wemin pawathee mama ese nowe,69,11,Singlish,True,,[unkown] [unkown] namuth heyi oba diyunu wemin pawathee mama ese nowe,False,False,True
589,kemaran mama tikak [Unkown],,,,,,,,,,,kemaran mama tikak [Unkown],kemaran mama tikak [Unkown],,,kemaran mama tikak [unkown],27,4,Singlish,True,,kemaran mama tikak [unkown],False,False,True
590,[Unkown] heta re ethana sellam karanawa mata eka karanna denna epa machan,,,,,,,,,,,[Unkown] heta re ethana sellam karanawa mata eka karanna denna epa machan,[Unkown] heta re ethana sellam karanawa mata eka karanna denna epa machan,,,[unkown] heta re ethana sellam karanawa mata eka karanna denna epa machan,73,12,Singlish,True,,[unkown] heta re ethana sellam karanawa mata eka karanna denna epa machan,False,False,True
600,shuwar [Unkown] mama oya kiyapu de hariyatama therum gannam,,,,,,,,,,,shuwar [Unkown] mama oya kiyapu de hariyatama therum gannam,shuwar [Unkown] mama oya kiyapu de hariyatama therum gannam,,,shuwar [unkown] mama oya kiyapu de hariyatama therum gannam,59,9,Singlish,True,,shuwar [unkown] mama oya kiyapu de hariyatama therum gannam,False,False,True
613,oba eya karanne keseda kumak karannada [Unkown],,,,,,,,,,,oba eya karanne keseda kumak karannada [Unkown],oba eya karanne keseda kumak karannada [Unkown],,,oba eya karanne keseda kumak karannada [unkown],47,7,Singlish,True,,oba eya karanne keseda kumak karannada [unkown],False,False,True
618,ne [Unkown] [Unkown] [Unkown] [Unkown] karanna awe,,,,,,,,,,,ne [Unkown] [Unkown] [Unkown] [Unkown] karanna awe,ne [Unkown] [Unkown] [Unkown] [Unkown] karanna awe,,,ne [unkown] [unkown] [unkown] [unkown] karanna awe,50,7,Singlish,True,,ne [unkown] [unkown] [unkown] [unkown] karanna awe,False,False,True
621,mata ehenawa oya [Unkown] udaw karanawa ow api parana yaluwo,,,,,,,,,,,mata ehenawa oya [Unkown] udaw karanawa ow api parana yaluwo,mata ehenawa oya [Unkown] udaw karanawa ow api parana yaluwo,,,mata ehenawa oya [unkown] udaw karanawa ow api parana yaluwo,60,10,Singlish,True,,mata ehenawa oya [unkown] udaw karanawa ow api parana yaluwo,False,False,True
625,oyayi [Unkown] api podi kale ekata napu de,,,,,,,,,,,oyayi [Unkown] api podi kale ekata napu de,oyayi [Unkown] api podi kale ekata napu de,,,oyayi [unkown] api podi kale ekata napu de,42,8,Singlish,True,,oyayi [unkown] api podi kale ekata napu de,False,False,True
626,e [Unkown] werona wasarak giya theneththiyayi ohu asabhya chithrapata karana bawa mata aranchi wiya,,,,,,,,,,,e [Unkown] werona wasarak giya theneththiyayi ohu asabhya chithrapata karana bawa mata aranchi wiya,e [Unkown] werona wasarak giya theneththiyayi ohu asabhya chithrapata karana bawa mata aranchi wiya,,,e [unkown] werona wasarak giya theneththiyayi ohu asabhya chithrapata karana bawa mata aranchi wiya,99,14,Singlish,True,,e [unkown] werona wasarak giya theneththiyayi ohu asabhya chithrapata karana bawa mata aranchi wiya,False,False,True
630,ohu hema witama [Unkown] i,,,,,,,,,,,ohu hema witama [Unkown] i,ohu hema witama [Unkown] i,,,ohu hema witama [unkown] i,26,5,Singlish,True,,ohu hema witama [unkown] i,False,False,True
633,wiliyam kawadawath rajaye pasalakata yanne nehe wiliyam usas [Unkown] giye nehe,,,,,,,,,,,wiliyam kawadawath rajaye pasalakata yanne nehe wiliyam usas [Unkown] giye nehe,wiliyam kawadawath rajaye pasalakata yanne nehe wiliyam usas [Unkown] giye nehe,,,wiliyam kawadawath rajaye pasalakata yanne nehe wiliyam usas [unkown] giye nehe,79,11,Singlish,True,,wiliyam kawadawath rajaye pasalakata yanne nehe wiliyam usas [unkown] giye nehe,False,False,True
634,wiliyam usas [Unkown] giye netha eya kisi witekath oppu kara netha,,,,,,,,,,,wiliyam usas [Unkown] giye netha eya kisi witekath oppu kara netha,wiliyam usas [Unkown] giye netha eya kisi witekath oppu kara netha,,,wiliyam usas [unkown] giye netha eya kisi witekath oppu kara netha,66,11,Singlish,True,,wiliyam usas [unkown] giye netha eya kisi witekath oppu kara netha,False,False,True
642,mama biyankata udawwak kala athara eya obata [Unkown],,,,,,,,,,,mama biyankata udawwak kala athara eya obata [Unkown],mama biyankata udawwak kala athara eya obata [Unkown],,,mama biyankata udawwak kala athara eya obata [unkown],53,8,Singlish,True,,mama biyankata udawwak kala athara eya obata [unkown],False,False,True
652,ureku men dahadiya demeema eththa washayenma saha oba pirimi lamayekuge awadhanaya dina geneemata [Unkown] thibe,,,,,,,,,,,ureku men dahadiya demeema eththa washayenma saha oba pirimi lamayekuge awadhanaya dina geneemata [Unkown] thibe,ureku men dahadiya demeema eththa washayenma saha oba pirimi lamayekuge awadhanaya dina geneemata [Unkown] thibe,,,ureku men dahadiya demeema eththa washayenma saha oba pirimi lamayekuge awadhanaya dina geneemata [unkown] thibe,112,15,Singlish,True,,ureku men dahadiya demeema eththa washayenma saha oba pirimi lamayekuge awadhanaya dina geneemata [unkown] thibe,False,False,True
653,mage jeewithaye mehewara pirimi lamayekuge awadhanaya laba geneemata [Unkown] thibe,,,,,,,,,,,mage jeewithaye mehewara pirimi lamayekuge awadhanaya laba geneemata [Unkown] thibe,mage jeewithaye mehewara pirimi lamayekuge awadhanaya laba geneemata [Unkown] thibe,,,mage jeewithaye mehewara pirimi lamayekuge awadhanaya laba geneemata [unkown] thibe,83,10,Singlish,True,,mage jeewithaye mehewara pirimi lamayekuge awadhanaya laba geneemata [unkown] thibe,False,False,True
656,oba mata waira karanawa neda oba ema prabala [Unkown] awashya yeyi mama sithanne nehe,,,,,,,,,,,oba mata waira karanawa neda oba ema prabala [Unkown] awashya yeyi mama sithanne nehe,oba mata waira karanawa neda oba ema prabala [Unkown] awashya yeyi mama sithanne nehe,,,oba mata waira karanawa neda oba ema prabala [unkown] awashya yeyi mama sithanne nehe,85,14,Singlish,True,,oba mata waira karanawa neda oba ema prabala [unkown] awashya yeyi mama sithanne nehe,False,False,True
663,oya mage passen enawada mama [Unkown] hitiya oyage kar eka dekka mama hayi kiyanna hithuwa,,,,,,,,,,,oya mage passen enawada mama [Unkown] hitiya oyage kar eka dekka mama hayi kiyanna hithuwa,oya mage passen enawada mama [Unkown] hitiya oyage kar eka dekka mama hayi kiyanna hithuwa,,,oya mage passen enawada mama [unkown] hitiya oyage kar eka dekka mama hayi kiyanna hithuwa,90,15,Singlish,True,,oya mage passen enawada mama [unkown] hitiya oyage kar eka dekka mama hayi kiyanna hithuwa,False,False,True
671,mata tikak nidaganna one [Unkown] oya nidaganna oya nidaganna,,,,,,,,,,,mata tikak nidaganna one [Unkown] oya nidaganna oya nidaganna,mata tikak nidaganna one [Unkown] oya nidaganna oya nidaganna,,,mata tikak nidaganna one [unkown] oya nidaganna oya nidaganna,61,9,Singlish,True,,mata tikak nidaganna one [unkown] oya nidaganna oya nidaganna,False,False,True
674,[Unkown] oya nidaganna oya nidagannawa kiyala mata nidaganna denna kiyala,,,,,,,,,,,[Unkown] oya nidaganna oya nidagannawa kiyala mata nidaganna denna kiyala,[Unkown] oya nidaganna oya nidagannawa kiyala mata nidaganna denna kiyala,,,[unkown] oya nidaganna oya nidagannawa kiyala mata nidaganna denna kiyala,73,10,Singlish,True,,[unkown] oya nidaganna oya nidagannawa kiyala mata nidaganna denna kiyala,False,False,True
695,[Unkown] sampanna akamethi,,,,,,,,,,,[Unkown] sampanna akamethi,[Unkown] sampanna akamethi,,,[unkown] sampanna akamethi,26,3,Singlish,True,,[unkown] sampanna akamethi,False,False,True
697,akamethiyi akemethiyi mama hithanne kawuru hari thawama ege [Unkown] eka [Unkown] thiyenawa,,,,,,,,,,,akamethiyi akemethiyi mama hithanne kawuru hari thawama ege [Unkown] eka [Unkown] thiyenawa,akamethiyi akemethiyi mama hithanne kawuru hari thawama ege [Unkown] eka [Unkown] thiyenawa,,,akamethiyi akemethiyi mama hithanne kawuru hari thawama ege [unkown] eka [unkown] thiyenawa,91,12,Singlish,True,,akamethiyi akemethiyi mama hithanne kawuru hari thawama ege [unkown] eka [unkown] thiyenawa,False,False,True
700,esenam mage [Unkown] [Unkown] kisiwakata hera ma wenath balapemak ethi kale netha,,,,,,,,,,,esenam mage [Unkown] [Unkown] kisiwakata hera ma wenath balapemak ethi kale netha,esenam mage [Unkown] [Unkown] kisiwakata hera ma wenath balapemak ethi kale netha,,,esenam mage [unkown] [unkown] kisiwakata hera ma wenath balapemak ethi kale netha,81,12,Singlish,True,,esenam mage [unkown] [unkown] kisiwakata hera ma wenath balapemak ethi kale netha,False,False,True
702,mama hithanne mama kawadawath oyata kiwwe nehe mama usata bayayi [Unkown] eka naraka nehe,,,,,,,,,,,mama hithanne mama kawadawath oyata kiwwe nehe mama usata bayayi [Unkown] eka naraka nehe,mama hithanne mama kawadawath oyata kiwwe nehe mama usata bayayi [Unkown] eka naraka nehe,,,mama hithanne mama kawadawath oyata kiwwe nehe mama usata bayayi [unkown] eka naraka nehe,89,14,Singlish,True,,mama hithanne mama kawadawath oyata kiwwe nehe mama usata bayayi [unkown] eka naraka nehe,False,False,True
703,[Unkown] [Unkown] eka echchara naraka nehe me konayen balanna uthsaha karanna,,,,,,,,,,,[Unkown] [Unkown] eka echchara naraka nehe me konayen balanna uthsaha karanna,[Unkown] [Unkown] eka echchara naraka nehe me konayen balanna uthsaha karanna,,,[unkown] [unkown] eka echchara naraka nehe me konayen balanna uthsaha karanna,77,11,Singlish,True,,[unkown] [unkown] eka echchara naraka nehe me konayen balanna uthsaha karanna,False,False,True
708,honda emathumak ithin kohomada [Unkown] anith peththa balanne,,,,,,,,,,,honda emathumak ithin kohomada [Unkown] anith peththa balanne,honda emathumak ithin kohomada [Unkown] anith peththa balanne,,,honda emathumak ithin kohomada [unkown] anith peththa balanne,61,8,Singlish,True,,honda emathumak ithin kohomada [unkown] anith peththa balanne,False,False,True
710,ithin oya kohomada [Unkown] anith peththa balanne kiyala mama mage buddhiyen eyawa andala demma,,,,,,,,,,,ithin oya kohomada [Unkown] anith peththa balanne kiyala mama mage buddhiyen eyawa andala demma,ithin oya kohomada [Unkown] anith peththa balanne kiyala mama mage buddhiyen eyawa andala demma,,,ithin oya kohomada [unkown] anith peththa balanne kiyala mama mage buddhiyen eyawa andala demma,95,14,Singlish,True,,ithin oya kohomada [unkown] anith peththa balanne kiyala mama mage buddhiyen eyawa andala demma,False,False,True
711,ow eya pitathata yamata ida nodenna ewita obe nidahasata karuna kumakda [Unkown],,,,,,,,,,,ow eya pitathata yamata ida nodenna ewita obe nidahasata karuna kumakda [Unkown],ow eya pitathata yamata ida nodenna ewita obe nidahasata karuna kumakda [Unkown],,,ow eya pitathata yamata ida nodenna ewita obe nidahasata karuna kumakda [unkown],80,12,Singlish,True,,ow eya pitathata yamata ida nodenna ewita obe nidahasata karuna kumakda [unkown],False,False,True
712,ithin oba apa karana akarayata kriya kireema gena samawata [Unkown],,,,,,,,,,,ithin oba apa karana akarayata kriya kireema gena samawata [Unkown],ithin oba apa karana akarayata kriya kireema gena samawata [Unkown],,,ithin oba apa karana akarayata kriya kireema gena samawata [unkown],67,10,Singlish,True,,ithin oba apa karana akarayata kriya kireema gena samawata [unkown],False,False,True
714,e wage deyak ethakota oya [Unkown],,,,,,,,,,,e wage deyak ethakota oya [Unkown],e wage deyak ethakota oya [Unkown],,,e wage deyak ethakota oya [unkown],34,6,Singlish,True,,e wage deyak ethakota oya [unkown],False,False,True
716,rajya bhatayinge [Unkown],,,,,,,,,,,rajya bhatayinge [Unkown],rajya bhatayinge [Unkown],,,rajya bhatayinge [unkown],25,3,Singlish,True,,rajya bhatayinge [unkown],False,False,True
730,oba mata kiyanawa obata prathikara awashya bawa kisiwaku obata pawasa thibeda [Unkown],,,,,,,,,,,oba mata kiyanawa obata prathikara awashya bawa kisiwaku obata pawasa thibeda [Unkown],oba mata kiyanawa obata prathikara awashya bawa kisiwaku obata pawasa thibeda [Unkown],,,oba mata kiyanawa obata prathikara awashya bawa kisiwaku obata pawasa thibeda [unkown],86,12,Singlish,True,,oba mata kiyanawa obata prathikara awashya bawa kisiwaku obata pawasa thibeda [unkown],False,False,True
731,obata prathikara awashya bawa prashna [Unkown] pilithuru dena bawa kisiwaku obata pawasa thibeda [Unkown],,,,,,,,,,,obata prathikara awashya bawa prashna [Unkown] pilithuru dena bawa kisiwaku obata pawasa thibeda [Unkown],obata prathikara awashya bawa prashna [Unkown] pilithuru dena bawa kisiwaku obata pawasa thibeda [Unkown],,,obata prathikara awashya bawa prashna [unkown] pilithuru dena bawa kisiwaku obata pawasa thibeda [unkown],105,14,Singlish,True,,obata prathikara awashya bawa prashna [unkown] pilithuru dena bawa kisiwaku obata pawasa thibeda [unkown],False,False,True
734,anthima mohothe obata [Unkown] ekak lebune keseda [Unkown],,,,,,,,,,,anthima mohothe obata [Unkown] ekak lebune keseda [Unkown],anthima mohothe obata [Unkown] ekak lebune keseda [Unkown],,,anthima mohothe obata [unkown] ekak lebune keseda [unkown],58,8,Singlish,True,,anthima mohothe obata [unkown] ekak lebune keseda [unkown],False,False,True
743,eka harida ow eth passe mata [Unkown] mama ekita wetuna,,,,,,,,,,,eka harida ow eth passe mata [Unkown] mama ekita wetuna,eka harida ow eth passe mata [Unkown] mama ekita wetuna,,,eka harida ow eth passe mata [unkown] mama ekita wetuna,55,10,Singlish,True,,eka harida ow eth passe mata [unkown] mama ekita wetuna,False,False,True
748,mage rakshanaya [Unkown] awaranaya karanne nehe ewita mata alla geneemak ethi bawa owunta kiyanna,,,,,,,,,,,mage rakshanaya [Unkown] awaranaya karanne nehe ewita mata alla geneemak ethi bawa owunta kiyanna,mage rakshanaya [Unkown] awaranaya karanne nehe ewita mata alla geneemak ethi bawa owunta kiyanna,,,mage rakshanaya [unkown] awaranaya karanne nehe ewita mata alla geneemak ethi bawa owunta kiyanna,97,14,Singlish,True,,mage rakshanaya [unkown] awaranaya karanne nehe ewita mata alla geneemak ethi bawa owunta kiyanna,False,False,True
752,oba ma wenuwen theerana ganna nisa apata meyata ekanga wiya nohekke eyi [Unkown],,,,,,,,,,,oba ma wenuwen theerana ganna nisa apata meyata ekanga wiya nohekke eyi [Unkown],oba ma wenuwen theerana ganna nisa apata meyata ekanga wiya nohekke eyi [Unkown],,,oba ma wenuwen theerana ganna nisa apata meyata ekanga wiya nohekke eyi [unkown],80,13,Singlish,True,,oba ma wenuwen theerana ganna nisa apata meyata ekanga wiya nohekke eyi [unkown],False,False,True
760,biyanka samahara pirimi lamayekuta pahara dun kotasa kumakda [Unkown],,,,,,,,,,,biyanka samahara pirimi lamayekuta pahara dun kotasa kumakda [Unkown],biyanka samahara pirimi lamayekuta pahara dun kotasa kumakda [Unkown],,,biyanka samahara pirimi lamayekuta pahara dun kotasa kumakda [unkown],69,9,Singlish,True,,biyanka samahara pirimi lamayekuta pahara dun kotasa kumakda [unkown],False,False,True
761,biyanka kale mama eyawa [Unkown] nisa kalabala wu deyayi,,,,,,,,,,,biyanka kale mama eyawa [Unkown] nisa kalabala wu deyayi,biyanka kale mama eyawa [Unkown] nisa kalabala wu deyayi,,,biyanka kale mama eyawa [unkown] nisa kalabala wu deyayi,56,9,Singlish,True,,biyanka kale mama eyawa [unkown] nisa kalabala wu deyayi,False,False,True
