id,SINGLISH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,avatar_url,original_text,text,original_label,label,clean_text,text_length,word_count,language_type,suspicious_subtitle,removal_reason,normalized_for_dedup,duplicate_flag,label_conflict,manual_review
539,oba denagatha yuthuma nam apa uthsaha kale [Unkown] lesa hendinwena kuda adhyayana mithuran kandayamak wetha yamata uthsaha kala bawayi,,,,,,,,,,,oba denagatha yuthuma nam apa uthsaha kale [Unkown] lesa hendinwena kuda adhyayana mithuran kandayamak wetha yamata uthsaha kala bawayi,oba denagatha yuthuma nam apa uthsaha kale [Unkown] lesa hendinwena kuda adhyayana mithuran kandayamak wetha yamata uthsaha kala bawayi,,,oba denagatha yuthuma nam apa uthsaha kale [unkown] lesa hendinwena kuda adhyayana mithuran kandayamak wetha yamata uthsaha kala bawayi,135,19,Singlish,True,subtitle_noise,oba denagatha yuthuma nam apa uthsaha kale [unkown] lesa hendinwena kuda adhyayana mithuran kandayamak wetha yamata uthsaha kala bawayi,False,False,False
544,obe sahodariya kathawa awasan karanne nam misa oba yanne netha mama mage niwase sirakaruweku bawa mata pene mama diyaniyak nowe mama [Unkown],,,,,,,,,,,obe sahodariya kathawa awasan karanne nam misa oba yanne netha mama mage niwase sirakaruweku bawa mata pene mama diyaniyak nowe mama [Unkown],obe sahodariya kathawa awasan karanne nam misa oba yanne netha mama mage niwase sirakaruweku bawa mata pene mama diyaniyak nowe mama [Unkown],,,obe sahodariya kathawa awasan karanne nam misa oba yanne netha mama mage niwase sirakaruweku bawa mata pene mama diyaniyak nowe mama [unkown],141,22,Singlish,True,subtitle_noise,obe sahodariya kathawa awasan karanne nam misa oba yanne netha mama mage niwase sirakaruweku bawa mata pene mama diyaniyak nowe mama [unkown],False,False,False
545,thaththe mata oya ekka [Unkown] eka gena katha karanna one eka heta reta [Unkown] [Unkown] ta dinayak thiyenawa,,,,,,,,,,,thaththe mata oya ekka [Unkown] eka gena katha karanna one eka heta reta [Unkown] [Unkown] ta dinayak thiyenawa,thaththe mata oya ekka [Unkown] eka gena katha karanna one eka heta reta [Unkown] [Unkown] ta dinayak thiyenawa,,,thaththe mata oya ekka [unkown] eka gena katha karanna one eka heta reta [unkown] [unkown] ta dinayak thiyenawa,111,18,Singlish,True,subtitle_noise,thaththe mata oya ekka [unkown] eka gena katha karanna one eka heta reta [unkown] [unkown] ta dinayak thiyenawa,False,False,False
574,ohuge keerthi namaya amathaka karanna oba sithanne apata selasumak thibeda nethahoth eya oba samanga pitathata yana bawa eththa washayenma keewada [Unkown],,,,,,,,,,,ohuge keerthi namaya amathaka karanna oba sithanne apata selasumak thibeda nethahoth eya oba samanga pitathata yana bawa eththa washayenma keewada [Unkown],ohuge keerthi namaya amathaka karanna oba sithanne apata selasumak thibeda nethahoth eya oba samanga pitathata yana bawa eththa washayenma keewada [Unkown],,,ohuge keerthi namaya amathaka karanna oba sithanne apata selasumak thibeda nethahoth eya oba samanga pitathata yana bawa eththa washayenma keewada [unkown],155,21,Singlish,True,subtitle_noise,ohuge keerthi namaya amathaka karanna oba sithanne apata selasumak thibeda nethahoth eya oba samanga pitathata yana bawa eththa washayenma keewada [unkown],False,False,False
591,oba ma wenuwen laba gath de mama [Unkown] [Unkown] menawiya pilibanda ethem thorathuru laba gaththemi obata prayojanawath wanu etheyi mama sithami,,,,,,,,,,,oba ma wenuwen laba gath de mama [Unkown] [Unkown] menawiya pilibanda ethem thorathuru laba gaththemi obata prayojanawath wanu etheyi mama sithami,oba ma wenuwen laba gath de mama [Unkown] [Unkown] menawiya pilibanda ethem thorathuru laba gaththemi obata prayojanawath wanu etheyi mama sithami,,,oba ma wenuwen laba gath de mama [unkown] [unkown] menawiya pilibanda ethem thorathuru laba gaththemi obata prayojanawath wanu etheyi mama sithami,146,21,Singlish,True,subtitle_noise,oba ma wenuwen laba gath de mama [unkown] [unkown] menawiya pilibanda ethem thorathuru laba gaththemi obata prayojanawath wanu etheyi mama sithami,False,False,False
615,mama danne nehe [Unkown] da limo da mal thawath siyayak [Unkown] sandaha pramanawath [Unkown] en ken [Unkown] samanga mama danimi,,,,,,,,,,,mama danne nehe [Unkown] da limo da mal thawath siyayak [Unkown] sandaha pramanawath [Unkown] en ken [Unkown] samanga mama danimi,mama danne nehe [Unkown] da limo da mal thawath siyayak [Unkown] sandaha pramanawath [Unkown] en ken [Unkown] samanga mama danimi,,,mama danne nehe [unkown] da limo da mal thawath siyayak [unkown] sandaha pramanawath [unkown] en ken [unkown] samanga mama danimi,129,20,Singlish,True,subtitle_noise,mama danne nehe [unkown] da limo da mal thawath siyayak [unkown] sandaha pramanawath [unkown] en ken [unkown] samanga mama danimi,False,False,False
627,petrik werona ahambu [Unkown] e [Unkown] werona awuruddak giyapu eka mata aranchi wuna meya kamuka chithrapata karanawa kiyala,,,,,,,,,,,petrik werona ahambu [Unkown] e [Unkown] werona awuruddak giyapu eka mata aranchi wuna meya kamuka chithrapata karanawa kiyala,petrik werona ahambu [Unkown] e [Unkown] werona awuruddak giyapu eka mata aranchi wuna meya kamuka chithrapata karanawa kiyala,,,petrik werona ahambu [unkown] e [unkown] werona awuruddak giyapu eka mata aranchi wuna meya kamuka chithrapata karanawa kiyala,126,18,Singlish,True,subtitle_noise,petrik werona ahambu [unkown] e [unkown] werona awuruddak giyapu eka mata aranchi wuna meya kamuka chithrapata karanawa kiyala,False,False,False
636,ikman maranayak sandaha oba darana uthsahaya mama agaya karami namuth mama eya anubhawa karami oba eya wedagath weda [Unkown],,,,,,,,,,,ikman maranayak sandaha oba darana uthsahaya mama agaya karami namuth mama eya anubhawa karami oba eya wedagath weda [Unkown],ikman maranayak sandaha oba darana uthsahaya mama agaya karami namuth mama eya anubhawa karami oba eya wedagath weda [Unkown],,,ikman maranayak sandaha oba darana uthsahaya mama agaya karami namuth mama eya anubhawa karami oba eya wedagath weda [unkown],125,19,Singlish,True,subtitle_noise,ikman maranayak sandaha oba darana uthsahaya mama agaya karami namuth mama eya anubhawa karami oba eya wedagath weda [unkown],False,False,False
637,mama biyanka wunata kamak nedda eya obata awashya onema pasalak wewi obe [Unkown] amathaka karanna epa,,,,,,,,,,,mama biyanka wunata kamak nedda eya obata awashya onema pasalak wewi obe [Unkown] amathaka karanna epa,mama biyanka wunata kamak nedda eya obata awashya onema pasalak wewi obe [Unkown] amathaka karanna epa,,,mama biyanka wunata kamak nedda eya obata awashya onema pasalak wewi obe [unkown] amathaka karanna epa,102,16,Singlish,True,subtitle_noise,mama biyanka wunata kamak nedda eya obata awashya onema pasalak wewi obe [unkown] amathaka karanna epa,False,False,False
643,mata thereemak thibune nehe obata thereemak thibune nehe ket koheda saha oba eya samanga kale kumakda [Unkown],,,,,,,,,,,mata thereemak thibune nehe obata thereemak thibune nehe ket koheda saha oba eya samanga kale kumakda [Unkown],mata thereemak thibune nehe obata thereemak thibune nehe ket koheda saha oba eya samanga kale kumakda [Unkown],,,mata thereemak thibune nehe obata thereemak thibune nehe ket koheda saha oba eya samanga kale kumakda [unkown],110,17,Singlish,True,subtitle_noise,mata thereemak thibune nehe obata thereemak thibune nehe ket koheda saha oba eya samanga kale kumakda [unkown],False,False,False
646,hondayi mama hithanne api dina nethi nisa api nehe oba kiyana de ahanna oba [Unkown] ehumkan denawa wage [Unkown] [Unkown] ganna nisa,,,,,,,,,,,hondayi mama hithanne api dina nethi nisa api nehe oba kiyana de ahanna oba [Unkown] ehumkan denawa wage [Unkown] [Unkown] ganna nisa,hondayi mama hithanne api dina nethi nisa api nehe oba kiyana de ahanna oba [Unkown] ehumkan denawa wage [Unkown] [Unkown] ganna nisa,,,hondayi mama hithanne api dina nethi nisa api nehe oba kiyana de ahanna oba [unkown] ehumkan denawa wage [unkown] [unkown] ganna nisa,133,22,Singlish,True,subtitle_noise,hondayi mama hithanne api dina nethi nisa api nehe oba kiyana de ahanna oba [unkown] ehumkan denawa wage [unkown] [unkown] ganna nisa,False,False,False
647,oyata ehumkan denna ohe betee serama tharaha wela wage mokada [Unkown] [Unkown] gannawa hari hari api yanne ne mata endumak thiyenawa wage neweyi,,,,,,,,,,,oyata ehumkan denna ohe betee serama tharaha wela wage mokada [Unkown] [Unkown] gannawa hari hari api yanne ne mata endumak thiyenawa wage neweyi,oyata ehumkan denna ohe betee serama tharaha wela wage mokada [Unkown] [Unkown] gannawa hari hari api yanne ne mata endumak thiyenawa wage neweyi,,,oyata ehumkan denna ohe betee serama tharaha wela wage mokada [unkown] [unkown] gannawa hari hari api yanne ne mata endumak thiyenawa wage neweyi,145,23,Singlish,True,subtitle_noise,oyata ehumkan denna ohe betee serama tharaha wela wage mokada [unkown] [unkown] gannawa hari hari api yanne ne mata endumak thiyenawa wage neweyi,False,False,False
655,rathriyedee mama obawa kisidaka nogiya thenwalata gena yana athara apasu [Unkown] ekolos dena dewee giya sthanayata oba mage namawath dannawada [Unkown],,,,,,,,,,,rathriyedee mama obawa kisidaka nogiya thenwalata gena yana athara apasu [Unkown] ekolos dena dewee giya sthanayata oba mage namawath dannawada [Unkown],rathriyedee mama obawa kisidaka nogiya thenwalata gena yana athara apasu [Unkown] ekolos dena dewee giya sthanayata oba mage namawath dannawada [Unkown],,,rathriyedee mama obawa kisidaka nogiya thenwalata gena yana athara apasu [unkown] ekolos dena dewee giya sthanayata oba mage namawath dannawada [unkown],152,21,Singlish,True,subtitle_noise,rathriyedee mama obawa kisidaka nogiya thenwalata gena yana athara apasu [unkown] ekolos dena dewee giya sthanayata oba mage namawath dannawada [unkown],False,False,False
657,[Unkown] eke [Unkown] ekolos dena koheda wage oya mage namawath dannawada [Unkown] mama eeta wada godak dewal dannawa,,,,,,,,,,,[Unkown] eke [Unkown] ekolos dena koheda wage oya mage namawath dannawada [Unkown] mama eeta wada godak dewal dannawa,[Unkown] eke [Unkown] ekolos dena koheda wage oya mage namawath dannawada [Unkown] mama eeta wada godak dewal dannawa,,,[unkown] eke [unkown] ekolos dena koheda wage oya mage namawath dannawada [unkown] mama eeta wada godak dewal dannawa,117,18,Singlish,True,subtitle_noise,[unkown] eke [unkown] ekolos dena koheda wage oya mage namawath dannawada [unkown] mama eeta wada godak dewal dannawa,False,False,False
658,mama eththatama hithanne nehe oba ma samanga dhawana pathaye dolar rathriyak gatha karana bawa ewita obata ema prabala [Unkown] awashya yeyi kiya,,,,,,,,,,,mama eththatama hithanne nehe oba ma samanga dhawana pathaye dolar rathriyak gatha karana bawa ewita obata ema prabala [Unkown] awashya yeyi kiya,mama eththatama hithanne nehe oba ma samanga dhawana pathaye dolar rathriyak gatha karana bawa ewita obata ema prabala [Unkown] awashya yeyi kiya,,,mama eththatama hithanne nehe oba ma samanga dhawana pathaye dolar rathriyak gatha karana bawa ewita obata ema prabala [unkown] awashya yeyi kiya,145,22,Singlish,True,subtitle_noise,mama eththatama hithanne nehe oba ma samanga dhawana pathaye dolar rathriyak gatha karana bawa ewita obata ema prabala [unkown] awashya yeyi kiya,False,False,False
660,eyi mama ehema karanne [Unkown] pitata thatta biyar enawa oyage eswala salli mama oyage passata atha thiyagena,,,,,,,,,,,eyi mama ehema karanne [Unkown] pitata thatta biyar enawa oyage eswala salli mama oyage passata atha thiyagena,eyi mama ehema karanne [Unkown] pitata thatta biyar enawa oyage eswala salli mama oyage passata atha thiyagena,,,eyi mama ehema karanne [unkown] pitata thatta biyar enawa oyage eswala salli mama oyage passata atha thiyagena,110,17,Singlish,True,subtitle_noise,eyi mama ehema karanne [unkown] pitata thatta biyar enawa oyage eswala salli mama oyage passata atha thiyagena,False,False,False
661,enna [Unkown] pethali biyar oba obe eswala mudal mama obe buruwa matha atha thaba oba mage wamanaya thula wasagena,,,,,,,,,,,enna [Unkown] pethali biyar oba obe eswala mudal mama obe buruwa matha atha thaba oba mage wamanaya thula wasagena,enna [Unkown] pethali biyar oba obe eswala mudal mama obe buruwa matha atha thaba oba mage wamanaya thula wasagena,,,enna [unkown] pethali biyar oba obe eswala mudal mama obe buruwa matha atha thaba oba mage wamanaya thula wasagena,114,19,Singlish,True,subtitle_noise,enna [unkown] pethali biyar oba obe eswala mudal mama obe buruwa matha atha thaba oba mage wamanaya thula wasagena,False,False,False
664,oba wishala kathikayek noweda oba mathkawa matha randa pawatheeda mage [Unkown] ma wachika wiyaruwakata eda damanne netha,,,,,,,,,,,oba wishala kathikayek noweda oba mathkawa matha randa pawatheeda mage [Unkown] ma wachika wiyaruwakata eda damanne netha,oba wishala kathikayek noweda oba mathkawa matha randa pawatheeda mage [Unkown] ma wachika wiyaruwakata eda damanne netha,,,oba wishala kathikayek noweda oba mathkawa matha randa pawatheeda mage [unkown] ma wachika wiyaruwakata eda damanne netha,121,17,Singlish,True,subtitle_noise,oba wishala kathikayek noweda oba mathkawa matha randa pawatheeda mage [unkown] ma wachika wiyaruwakata eda damanne netha,False,False,False
666,oba dannawa me aya [Unkown] minee ho wehi kaba nowana namuth owun sitinne wehi kaba kawuda kiya oba dannawa,,,,,,,,,,,oba dannawa me aya [Unkown] minee ho wehi kaba nowana namuth owun sitinne wehi kaba kawuda kiya oba dannawa,oba dannawa me aya [Unkown] minee ho wehi kaba nowana namuth owun sitinne wehi kaba kawuda kiya oba dannawa,,,oba dannawa me aya [unkown] minee ho wehi kaba nowana namuth owun sitinne wehi kaba kawuda kiya oba dannawa,107,19,Singlish,True,subtitle_noise,oba dannawa me aya [unkown] minee ho wehi kaba nowana namuth owun sitinne wehi kaba kawuda kiya oba dannawa,False,False,False
676,oba jarawata path wu wita wishala wachana bhawitha kireemata obata ida denna oba meya karanne eyi [Unkown],,,,,,,,,,,oba jarawata path wu wita wishala wachana bhawitha kireemata obata ida denna oba meya karanne eyi [Unkown],oba jarawata path wu wita wishala wachana bhawitha kireemata obata ida denna oba meya karanne eyi [Unkown],,,oba jarawata path wu wita wishala wachana bhawitha kireemata obata ida denna oba meya karanne eyi [unkown],106,17,Singlish,True,subtitle_noise,oba jarawata path wu wita wishala wachana bhawitha kireemata obata ida denna oba meya karanne eyi [unkown],False,False,False
684,mama eya palanaya karamin sitimi namuth eya [Unkown] ya oba owunta kemathi bawa mama danimi mama obawa ehi dutuwemi,,,,,,,,,,,mama eya palanaya karamin sitimi namuth eya [Unkown] ya oba owunta kemathi bawa mama danimi mama obawa ehi dutuwemi,mama eya palanaya karamin sitimi namuth eya [Unkown] ya oba owunta kemathi bawa mama danimi mama obawa ehi dutuwemi,,,mama eya palanaya karamin sitimi namuth eya [unkown] ya oba owunta kemathi bawa mama danimi mama obawa ehi dutuwemi,115,19,Singlish,True,subtitle_noise,mama eya palanaya karamin sitimi namuth eya [unkown] ya oba owunta kemathi bawa mama danimi mama obawa ehi dutuwemi,False,False,False
692,mata samawenna oba sthree [Unkown] deka thibeda mata mage pitapatha nethi wee gos oba mehi karanne kumakda [Unkown],,,,,,,,,,,mata samawenna oba sthree [Unkown] deka thibeda mata mage pitapatha nethi wee gos oba mehi karanne kumakda [Unkown],mata samawenna oba sthree [Unkown] deka thibeda mata mage pitapatha nethi wee gos oba mehi karanne kumakda [Unkown],,,mata samawenna oba sthree [unkown] deka thibeda mata mage pitapatha nethi wee gos oba mehi karanne kumakda [unkown],115,18,Singlish,True,subtitle_noise,mata samawenna oba sthree [unkown] deka thibeda mata mage pitapatha nethi wee gos oba mehi karanne kumakda [unkown],False,False,False
698,akemethiyi mama hithanne thawama kenek ege [Unkown] eka karakewena widihata thiyagena innawa eka [Unkown] hithanna epa oya mage [Unkown] mokak hari balapemak kala kiyala,,,,,,,,,,,akemethiyi mama hithanne thawama kenek ege [Unkown] eka karakewena widihata thiyagena innawa eka [Unkown] hithanna epa oya mage [Unkown] mokak hari balapemak kala kiyala,akemethiyi mama hithanne thawama kenek ege [Unkown] eka karakewena widihata thiyagena innawa eka [Unkown] hithanna epa oya mage [Unkown] mokak hari balapemak kala kiyala,,,akemethiyi mama hithanne thawama kenek ege [unkown] eka karakewena widihata thiyagena innawa eka [unkown] hithanna epa oya mage [unkown] mokak hari balapemak kala kiyala,169,24,Singlish,True,subtitle_noise,akemethiyi mama hithanne thawama kenek ege [unkown] eka karakewena widihata thiyagena innawa eka [unkown] hithanna epa oya mage [unkown] mokak hari balapemak kala kiyala,False,False,False
699,eka [Unkown] hithanna epa oya mage [Unkown] kisima balapemak kala kiyala ithin mata mokada wune kiyala,,,,,,,,,,,eka [Unkown] hithanna epa oya mage [Unkown] kisima balapemak kala kiyala ithin mata mokada wune kiyala,eka [Unkown] hithanna epa oya mage [Unkown] kisima balapemak kala kiyala ithin mata mokada wune kiyala,,,eka [unkown] hithanna epa oya mage [unkown] kisima balapemak kala kiyala ithin mata mokada wune kiyala,102,16,Singlish,True,subtitle_noise,eka [unkown] hithanna epa oya mage [unkown] kisima balapemak kala kiyala ithin mata mokada wune kiyala,False,False,False
701,ohu pitawa giya athara mama hisa osawana lada athara ohu ma mathata [Unkown] hiru eliya desa beluweya,,,,,,,,,,,ohu pitawa giya athara mama hisa osawana lada athara ohu ma mathata [Unkown] hiru eliya desa beluweya,ohu pitawa giya athara mama hisa osawana lada athara ohu ma mathata [Unkown] hiru eliya desa beluweya,,,ohu pitawa giya athara mama hisa osawana lada athara ohu ma mathata [unkown] hiru eliya desa beluweya,101,17,Singlish,True,subtitle_noise,ohu pitawa giya athara mama hisa osawana lada athara ohu ma mathata [unkown] hiru eliya desa beluweya,False,False,False
723,oba pudumakara lesa athma wishwasayen sitina bawa wena kisiwek nodanithi kisiweku obata eya pawasa thibeda [Unkown],,,,,,,,,,,oba pudumakara lesa athma wishwasayen sitina bawa wena kisiwek nodanithi kisiweku obata eya pawasa thibeda [Unkown],oba pudumakara lesa athma wishwasayen sitina bawa wena kisiwek nodanithi kisiweku obata eya pawasa thibeda [Unkown],,,oba pudumakara lesa athma wishwasayen sitina bawa wena kisiwek nodanithi kisiweku obata eya pawasa thibeda [unkown],115,16,Singlish,True,subtitle_noise,oba pudumakara lesa athma wishwasayen sitina bawa wena kisiwek nodanithi kisiweku obata eya pawasa thibeda [unkown],False,False,False
725,ma samanga [Unkown] ekata yana bawa kisiwaku obata pawasa ethdeyi obata pudumakara lesa athma wishwasayak etha,,,,,,,,,,,ma samanga [Unkown] ekata yana bawa kisiwaku obata pawasa ethdeyi obata pudumakara lesa athma wishwasayak etha,ma samanga [Unkown] ekata yana bawa kisiwaku obata pawasa ethdeyi obata pudumakara lesa athma wishwasayak etha,,,ma samanga [unkown] ekata yana bawa kisiwaku obata pawasa ethdeyi obata pudumakara lesa athma wishwasayak etha,110,16,Singlish,True,subtitle_noise,ma samanga [unkown] ekata yana bawa kisiwaku obata pawasa ethdeyi obata pudumakara lesa athma wishwasayak etha,False,False,False
735,eya [Unkown] yanu ohuge dinaya waradakaru wee etha obata enduma lebune kohenda eya ma oba danna deyak pamani,,,,,,,,,,,eya [Unkown] yanu ohuge dinaya waradakaru wee etha obata enduma lebune kohenda eya ma oba danna deyak pamani,eya [Unkown] yanu ohuge dinaya waradakaru wee etha obata enduma lebune kohenda eya ma oba danna deyak pamani,,,eya [unkown] yanu ohuge dinaya waradakaru wee etha obata enduma lebune kohenda eya ma oba danna deyak pamani,108,18,Singlish,True,subtitle_noise,eya [unkown] yanu ohuge dinaya waradakaru wee etha obata enduma lebune kohenda eya ma oba danna deyak pamani,False,False,False
741,oba meya miladee gath [Unkown] thattuwak oba obe sangeetha kandayama arambha karana wita obata eya bhawitha kala heki yeyi mama sithuwemi,,,,,,,,,,,oba meya miladee gath [Unkown] thattuwak oba obe sangeetha kandayama arambha karana wita obata eya bhawitha kala heki yeyi mama sithuwemi,oba meya miladee gath [Unkown] thattuwak oba obe sangeetha kandayama arambha karana wita obata eya bhawitha kala heki yeyi mama sithuwemi,,,oba meya miladee gath [unkown] thattuwak oba obe sangeetha kandayama arambha karana wita obata eya bhawitha kala heki yeyi mama sithuwemi,137,21,Singlish,True,subtitle_noise,oba meya miladee gath [unkown] thattuwak oba obe sangeetha kandayama arambha karana wita obata eya bhawitha kala heki yeyi mama sithuwemi,False,False,False
742,eeta amatharawa mata amathara mudal tikak thibuna eththenma honda gehenu lamayeku eliyata geneemata samahara [Unkown] mata gewwa eya hari,,,,,,,,,,,eeta amatharawa mata amathara mudal tikak thibuna eththenma honda gehenu lamayeku eliyata geneemata samahara [Unkown] mata gewwa eya hari,eeta amatharawa mata amathara mudal tikak thibuna eththenma honda gehenu lamayeku eliyata geneemata samahara [Unkown] mata gewwa eya hari,,,eeta amatharawa mata amathara mudal tikak thibuna eththenma honda gehenu lamayeku eliyata geneemata samahara [unkown] mata gewwa eya hari,137,19,Singlish,True,subtitle_noise,eeta amatharawa mata amathara mudal tikak thibuna eththenma honda gehenu lamayeku eliyata geneemata samahara [unkown] mata gewwa eya hari,False,False,False
